Dataset,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,degree,gamma,coef0,shrinking,tol,random_state,kernel_linear,kernel_poly,kernel_rbf,kernel_sigmoid
sick_38,0.940318302387268,0.65395188331604,0.1397137641906738,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3076999021915205,2.0,0.648376157119455,0.4783959093754409,1.0,0.0010233797094932,0.0,0.0,0.0,1.0,0.0
sick_38,0.940318302387268,0.5981183052062988,0.1235935688018798,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4652774106668576,2.0,-1.0,-0.2207204577733757,1.0,0.000886912325364,0.0,0.0,0.0,1.0,0.0
sick_38,0.940318302387268,0.8384912014007568,0.1891622543334961,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1721903993530344,4.0,-1.0,-0.2558285155996065,1.0,0.0004442595006956,0.0,0.0,0.0,0.0,1.0
sick_38,0.940318302387268,0.6001195907592773,0.1250944137573242,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4738634143354974,3.0,-2.0,0.2344363096628028,1.0,0.0003933928915734,0.0,0.0,0.0,0.0,1.0
sick_38,0.940318302387268,0.6517088413238525,0.1378595829010009,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.800170310799878,4.0,-1.0,0.12842996495051,0.0,0.0005423950859032,0.0,0.0,0.0,1.0,0.0
sick_38,0.940318302387268,0.6578810214996338,0.1382951736450195,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4054352883770567,3.0,-1.0,0.0526460686719953,1.0,0.0068643452196298,0.0,0.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.355,0.0280153751373291,0.0061252117156982,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.431807854261208,2.0,-1.0,-0.3620604245780378,0.0,0.00306804174216,0.0,0.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.355,0.0274581909179687,0.0061652660369873,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3355928105022945,5.0,-1.0,-0.4713668752882138,1.0,0.0006039431444464,0.0,0.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.335,0.0288128852844238,0.0060548782348632,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3509494649495712,2.0,-1.0,-0.0091320746031573,0.0,0.00012317402561,0.0,0.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.335,0.02801513671875,0.0057029724121093,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.530663274280561,2.0,-2.0,0.4012312082939034,1.0,0.0004047883246938,0.0,0.0,1.0,0.0,0.0
