pipeline,metafeature,openml_tid,ndcg,ndcg_score
adaboost,Landmark,43,25,0.32
adaboost,Landmark,45,25,0.4
adaboost,Landmark,49,25,0.64
adaboost,Landmark,53,25,0.48
adaboost,Landmark,219,25,0.44
adaboost,Landmark,2074,25,0.56
adaboost,Landmark,2079,25,0.32
adaboost,Landmark,3021,25,0.52
adaboost,Landmark,3022,25,0.48
adaboost,Landmark,3481,25,0.56
adaboost,Landmark,3549,25,0.4
adaboost,Landmark,3560,25,0.48
adaboost,Landmark,3573,25,0.64
adaboost,Landmark,3902,25,0.52
adaboost,Landmark,3903,25,0.44
adaboost,Landmark,3904,25,0.36
adaboost,Landmark,3913,25,0.52
adaboost,Landmark,3917,25,0.52
adaboost,Landmark,3918,25,0.52
adaboost,Landmark,7592,25,0.56
adaboost,Landmark,9910,25,0.52
adaboost,Landmark,9946,25,0.68
adaboost,Landmark,9952,25,0.36
adaboost,Landmark,9957,25,0.36
adaboost,Landmark,9960,25,0.48
adaboost,Landmark,9964,25,0.64
adaboost,Landmark,9971,25,0.52
adaboost,Landmark,9976,25,0.4
adaboost,Landmark,9977,25,0.36
adaboost,Landmark,9978,25,0.52
adaboost,Landmark,9981,25,0.36
adaboost,Landmark,9985,25,0.36
adaboost,Landmark,10093,25,0.68
adaboost,Landmark,10101,25,0.48
adaboost,Landmark,14952,25,0.56
adaboost,Landmark,14954,25,0.24
adaboost,Landmark,14965,25,0.44
adaboost,Landmark,14969,25,0.32
adaboost,Landmark,14970,25,0.4
adaboost,Landmark,125920,25,0.48
adaboost,Landmark,125922,25,0.52
adaboost,Landmark,146195,25,0.44
adaboost,Landmark,146800,25,0.24
adaboost,Landmark,146817,25,0.4
adaboost,Landmark,146819,25,0.48
adaboost,Landmark,146820,25,0.48
adaboost,Landmark,146821,25,0.44
adaboost,Landmark,146824,25,0.6
adaboost,Landmark,167125,25,0.4
adaboost,SCOT,3,25,0.56
adaboost,SCOT,6,25,0.44
adaboost,SCOT,11,25,0.56
adaboost,SCOT,12,25,0.52
adaboost,SCOT,14,25,0.48
adaboost,SCOT,15,25,0.52
adaboost,SCOT,16,25,0.44
adaboost,SCOT,18,25,0.44
adaboost,SCOT,22,25,0.56
adaboost,SCOT,23,25,0.64
adaboost,SCOT,28,25,0.44
adaboost,SCOT,29,25,0.4
adaboost,SCOT,31,25,0.52
adaboost,SCOT,32,25,0.28
adaboost,SCOT,37,25,0.56
adaboost,SCOT,43,25,0.28
adaboost,SCOT,45,25,0.36
adaboost,SCOT,49,25,0.52
adaboost,SCOT,53,25,0.32
adaboost,SCOT,219,25,0.4
adaboost,SCOT,2074,25,0.32
adaboost,SCOT,2079,25,0.52
adaboost,SCOT,3021,25,0.44
adaboost,SCOT,3022,25,0.36
adaboost,SCOT,3481,25,0.64
adaboost,SCOT,3549,25,0.56
adaboost,SCOT,3560,25,0.48
adaboost,SCOT,3573,25,0.56
adaboost,SCOT,3902,25,0.64
adaboost,SCOT,3903,25,0.32
adaboost,SCOT,3904,25,0.52
adaboost,SCOT,3913,25,0.44
adaboost,SCOT,3917,25,0.56
adaboost,SCOT,3918,25,0.64
adaboost,SCOT,7592,25,0.52
adaboost,SCOT,9910,25,0.48
adaboost,SCOT,9946,25,0.56
adaboost,SCOT,9952,25,0.32
adaboost,SCOT,9957,25,0.48
adaboost,SCOT,9960,25,0.48
adaboost,SCOT,9964,25,0.56
adaboost,SCOT,9971,25,0.6
adaboost,SCOT,9976,25,0.6
adaboost,SCOT,9977,25,0.52
adaboost,SCOT,9978,25,0.44
adaboost,SCOT,9981,25,0.52
adaboost,SCOT,9985,25,0.56
adaboost,SCOT,10093,25,0.52
adaboost,SCOT,10101,25,0.48
adaboost,SCOT,14952,25,0.68
adaboost,SCOT,14954,25,0.4
adaboost,SCOT,14965,25,0.64
adaboost,SCOT,14969,25,0.32
adaboost,SCOT,14970,25,0.48
adaboost,SCOT,125920,25,0.52
adaboost,SCOT,125922,25,0.44
adaboost,SCOT,146195,25,0.6
adaboost,SCOT,146800,25,0.36
adaboost,SCOT,146817,25,0.56
adaboost,SCOT,146819,25,0.44
adaboost,SCOT,146820,25,0.32
adaboost,SCOT,146821,25,0.24
adaboost,SCOT,146824,25,0.52
adaboost,SCOT,167125,25,0.6
