pipeline,metafeature,openml_tid,ndcg,ndcg_score
adaboost,metabu,3,10,0.6
adaboost,metabu,6,10,0.6
adaboost,metabu,11,10,0.6
adaboost,metabu,12,10,0.5
adaboost,metabu,14,10,0.4
adaboost,metabu,15,10,0.7
adaboost,metabu,16,10,0.8
adaboost,metabu,18,10,0.6
adaboost,metabu,22,10,0.4
adaboost,metabu,23,10,0.8
adaboost,metabu,28,10,0.6
adaboost,metabu,29,10,0.5
adaboost,metabu,31,10,0.8
adaboost,metabu,32,10,0.6
adaboost,metabu,37,10,0.5
adaboost,metabu,43,10,0.4
adaboost,metabu,45,10,0.7
adaboost,metabu,49,10,0.8
adaboost,metabu,53,10,0.4
adaboost,metabu,219,10,0.6
adaboost,metabu,2074,10,0.7
adaboost,metabu,2079,10,0.6
adaboost,metabu,3021,10,0.4
adaboost,metabu,3022,10,0.8
adaboost,metabu,3481,10,0.6
adaboost,metabu,3549,10,0.7
adaboost,metabu,3560,10,0.6
adaboost,metabu,3573,10,0.6
adaboost,metabu,3902,10,0.3
adaboost,metabu,3903,10,0.4
adaboost,metabu,3904,10,0.7
adaboost,metabu,3913,10,0.6
adaboost,metabu,3917,10,0.4
adaboost,metabu,3918,10,0.4
adaboost,metabu,7592,10,0.6
adaboost,metabu,9910,10,0.7
adaboost,metabu,9946,10,0.6
adaboost,metabu,9952,10,0.4
adaboost,metabu,9957,10,0.4
adaboost,metabu,9960,10,0.6
adaboost,metabu,9964,10,0.7
adaboost,metabu,9971,10,0.4
adaboost,metabu,9976,10,0.8
adaboost,metabu,9977,10,0.4
adaboost,metabu,9978,10,0.6
adaboost,metabu,9981,10,0.7
adaboost,metabu,9985,10,0.4
adaboost,metabu,10093,10,0.8
adaboost,metabu,10101,10,0.7
adaboost,metabu,14952,10,0.4
adaboost,metabu,14954,10,0.6
adaboost,metabu,14965,10,0.4
adaboost,metabu,14969,10,0.6
adaboost,metabu,14970,10,0.6
adaboost,metabu,125920,10,0.7
adaboost,metabu,125922,10,0.4
adaboost,metabu,146195,10,0.5
adaboost,metabu,146800,10,0.5
adaboost,metabu,146817,10,0.6
adaboost,metabu,146819,10,0.4
adaboost,metabu,146820,10,0.5
adaboost,metabu,146821,10,0.5
adaboost,metabu,146824,10,0.5
adaboost,metabu,167125,10,0.3
adaboost,AutoSklearn,3,10,0.2
adaboost,AutoSklearn,6,10,0.3
adaboost,AutoSklearn,11,10,0.3
adaboost,AutoSklearn,12,10,0.5
adaboost,AutoSklearn,14,10,0.3
adaboost,AutoSklearn,15,10,0.2
adaboost,AutoSklearn,16,10,0.5
adaboost,AutoSklearn,18,10,0.2
adaboost,AutoSklearn,22,10,0.2
adaboost,AutoSklearn,23,10,0.3
adaboost,AutoSklearn,28,10,0.4
adaboost,AutoSklearn,29,10,0.2
adaboost,AutoSklearn,31,10,0.4
adaboost,AutoSklearn,32,10,0.4
adaboost,AutoSklearn,37,10,0.4
adaboost,AutoSklearn,43,10,0.2
adaboost,AutoSklearn,45,10,0.2
adaboost,AutoSklearn,49,10,0.5
adaboost,AutoSklearn,53,10,0.2
adaboost,AutoSklearn,219,10,0.4
adaboost,AutoSklearn,2074,10,0.4
adaboost,AutoSklearn,2079,10,0.3
adaboost,AutoSklearn,3021,10,0.3
adaboost,AutoSklearn,3022,10,0.4
adaboost,AutoSklearn,3481,10,0.4
adaboost,AutoSklearn,3549,10,0.3
adaboost,AutoSklearn,3560,10,0.3
adaboost,AutoSklearn,3573,10,0.3
adaboost,AutoSklearn,3902,10,0.5
adaboost,AutoSklearn,3903,10,0.2
adaboost,AutoSklearn,3904,10,0.2
adaboost,AutoSklearn,3913,10,0.5
adaboost,AutoSklearn,3917,10,0.6
adaboost,AutoSklearn,3918,10,0.3
adaboost,AutoSklearn,7592,10,0.3
adaboost,AutoSklearn,9910,10,0.4
adaboost,AutoSklearn,9946,10,0.3
adaboost,AutoSklearn,9952,10,0.2
adaboost,AutoSklearn,9957,10,0.3
adaboost,AutoSklearn,9960,10,0.2
adaboost,AutoSklearn,9964,10,0.5
adaboost,AutoSklearn,9971,10,0.4
adaboost,AutoSklearn,9976,10,0.2
adaboost,AutoSklearn,9977,10,0.3
adaboost,AutoSklearn,9978,10,0.3
adaboost,AutoSklearn,9981,10,0.4
adaboost,AutoSklearn,9985,10,0.2
adaboost,AutoSklearn,10093,10,0.4
adaboost,AutoSklearn,10101,10,0.3
adaboost,AutoSklearn,14952,10,0.3
adaboost,AutoSklearn,14954,10,0.3
adaboost,AutoSklearn,14965,10,0.3
adaboost,AutoSklearn,14969,10,0.2
adaboost,AutoSklearn,14970,10,0.6
adaboost,AutoSklearn,125920,10,0.1
adaboost,AutoSklearn,125922,10,0.4
adaboost,AutoSklearn,146195,10,0.2
adaboost,AutoSklearn,146800,10,0.1
adaboost,AutoSklearn,146817,10,0.2
adaboost,AutoSklearn,146819,10,0.3
adaboost,AutoSklearn,146820,10,0.5
adaboost,AutoSklearn,146821,10,0.1
adaboost,AutoSklearn,146824,10,0.5
adaboost,AutoSklearn,167125,10,0.4
adaboost,Landmark,3,10,0.2
adaboost,Landmark,6,10,0.5
adaboost,Landmark,11,10,0.4
adaboost,Landmark,12,10,0.7
adaboost,Landmark,14,10,0.1
adaboost,Landmark,15,10,0.4
adaboost,Landmark,16,10,0.7
adaboost,Landmark,18,10,0.3
adaboost,Landmark,22,10,0.2
adaboost,Landmark,23,10,0.3
adaboost,Landmark,28,10,0.5
adaboost,Landmark,29,10,0.3
adaboost,Landmark,31,10,0.3
adaboost,Landmark,32,10,0.5
adaboost,Landmark,37,10,0.3
adaboost,Landmark,43,10,0.2
adaboost,Landmark,45,10,0.3
adaboost,Landmark,49,10,0.3
adaboost,Landmark,53,10,0.1
adaboost,Landmark,219,10,0.2
adaboost,Landmark,2074,10,0.6
adaboost,Landmark,2079,10,0.2
adaboost,Landmark,3021,10,0.4
adaboost,Landmark,3022,10,0.2
adaboost,Landmark,3481,10,0.6
adaboost,Landmark,3549,10,0.4
adaboost,Landmark,3560,10,0.4
adaboost,Landmark,3573,10,0.5
adaboost,Landmark,3902,10,0.4
adaboost,Landmark,3903,10,0.1
adaboost,Landmark,3904,10,0.3
adaboost,Landmark,3913,10,0.3
adaboost,Landmark,3917,10,0.3
adaboost,Landmark,3918,10,0.3
adaboost,Landmark,7592,10,0.3
adaboost,Landmark,9910,10,0.3
adaboost,Landmark,9946,10,0.7
adaboost,Landmark,9952,10,0.1
adaboost,Landmark,9957,10,0.3
adaboost,Landmark,9960,10,0.2
adaboost,Landmark,9964,10,0.5
adaboost,Landmark,9971,10,0.4
adaboost,Landmark,9976,10,0.2
adaboost,Landmark,9977,10,0.2
adaboost,Landmark,9978,10,0.2
adaboost,Landmark,9981,10,0.3
adaboost,Landmark,9985,10,0.3
adaboost,Landmark,10093,10,0.5
adaboost,Landmark,10101,10,0.3
adaboost,Landmark,14952,10,0.3
adaboost,Landmark,14954,10,0.2
adaboost,Landmark,14965,10,0.3
adaboost,Landmark,14969,10,0.2
adaboost,Landmark,14970,10,0.4
adaboost,Landmark,125920,10,0.3
adaboost,Landmark,125922,10,0.6
adaboost,Landmark,146195,10,0.3
adaboost,Landmark,146800,10,0.1
adaboost,Landmark,146817,10,0.4
adaboost,Landmark,146819,10,0.3
adaboost,Landmark,146820,10,0.4
adaboost,Landmark,146821,10,0.2
adaboost,Landmark,146824,10,0.5
adaboost,Landmark,167125,10,0.2
adaboost,SCOT,3,10,0.3
adaboost,SCOT,6,10,0.4
adaboost,SCOT,11,10,0.3
adaboost,SCOT,12,10,0.3
adaboost,SCOT,14,10,0.2
adaboost,SCOT,15,10,0.3
adaboost,SCOT,16,10,0.3
adaboost,SCOT,18,10,0.2
adaboost,SCOT,22,10,0.2
adaboost,SCOT,23,10,0.4
adaboost,SCOT,28,10,0.5
adaboost,SCOT,29,10,0.1
adaboost,SCOT,31,10,0.5
adaboost,SCOT,32,10,0.3
adaboost,SCOT,37,10,0.4
adaboost,SCOT,43,10,0.3
adaboost,SCOT,45,10,0.1
adaboost,SCOT,49,10,0.3
adaboost,SCOT,53,10,0.2
adaboost,SCOT,219,10,0.5
adaboost,SCOT,2074,10,0.3
adaboost,SCOT,2079,10,0.1
adaboost,SCOT,3021,10,0.3
adaboost,SCOT,3022,10,0.4
adaboost,SCOT,3481,10,0.5
adaboost,SCOT,3549,10,0.2
adaboost,SCOT,3560,10,0.5
adaboost,SCOT,3573,10,0.3
adaboost,SCOT,3902,10,0.3
adaboost,SCOT,3903,10,0.2
adaboost,SCOT,3904,10,0.2
adaboost,SCOT,3913,10,0.3
adaboost,SCOT,3917,10,0.5
adaboost,SCOT,3918,10,0.4
adaboost,SCOT,7592,10,0.4
adaboost,SCOT,9910,10,0.5
adaboost,SCOT,9946,10,0.3
adaboost,SCOT,9952,10,0.1
adaboost,SCOT,9957,10,0.3
adaboost,SCOT,9960,10,0.4
adaboost,SCOT,9964,10,0.2
adaboost,SCOT,9971,10,0.4
adaboost,SCOT,9976,10,0.3
adaboost,SCOT,9977,10,0.2
adaboost,SCOT,9978,10,0.3
adaboost,SCOT,9981,10,0.5
adaboost,SCOT,9985,10,0.4
adaboost,SCOT,10093,10,0.5
adaboost,SCOT,10101,10,0.4
adaboost,SCOT,14952,10,0.3
adaboost,SCOT,14954,10,0.3
adaboost,SCOT,14965,10,0.4
adaboost,SCOT,14969,10,0.1
adaboost,SCOT,14970,10,0.4
adaboost,SCOT,125920,10,0.4
adaboost,SCOT,125922,10,0.2
adaboost,SCOT,146195,10,0.4
adaboost,SCOT,146800,10,0.4
adaboost,SCOT,146817,10,0.4
adaboost,SCOT,146819,10,0.6
adaboost,SCOT,146820,10,0.3
adaboost,SCOT,146821,10,0.2
adaboost,SCOT,146824,10,0.4
adaboost,SCOT,167125,10,0.1
