pipeline,metafeature,openml_tid,ndcg,ndcg_score
adaboost,metabu,3,35,0.7428571428571429
adaboost,metabu,6,35,0.8285714285714286
adaboost,metabu,11,35,0.7428571428571429
adaboost,metabu,12,35,0.8000000000000002
adaboost,metabu,14,35,0.7428571428571429
adaboost,metabu,15,35,0.8285714285714286
adaboost,metabu,16,35,0.8571428571428572
adaboost,metabu,18,35,0.7428571428571429
adaboost,metabu,22,35,0.9142857142857143
adaboost,metabu,23,35,0.9142857142857143
adaboost,metabu,28,35,0.8571428571428572
adaboost,metabu,29,35,0.8571428571428572
adaboost,metabu,31,35,0.8000000000000002
adaboost,metabu,32,35,0.8857142857142857
adaboost,metabu,37,35,0.8857142857142857
adaboost,metabu,43,35,0.8285714285714286
adaboost,metabu,45,35,0.8000000000000002
adaboost,metabu,49,35,0.8000000000000002
adaboost,metabu,53,35,0.7428571428571429
adaboost,metabu,219,35,0.8857142857142857
adaboost,metabu,2074,35,0.8285714285714286
adaboost,metabu,2079,35,0.7428571428571429
adaboost,metabu,3021,35,0.8285714285714286
adaboost,metabu,3022,35,0.8285714285714286
adaboost,metabu,3481,35,0.8000000000000002
adaboost,metabu,3549,35,0.9142857142857143
adaboost,metabu,3560,35,0.8285714285714286
adaboost,metabu,3573,35,0.8285714285714286
adaboost,metabu,3902,35,0.6571428571428571
adaboost,metabu,3903,35,0.8000000000000002
adaboost,metabu,3904,35,0.8285714285714286
adaboost,metabu,3913,35,0.8857142857142857
adaboost,metabu,3917,35,0.7714285714285715
adaboost,metabu,3918,35,0.7714285714285715
adaboost,metabu,7592,35,0.8857142857142857
adaboost,metabu,9910,35,0.8000000000000002
adaboost,metabu,9946,35,0.8285714285714286
adaboost,metabu,9952,35,0.6285714285714286
adaboost,metabu,9957,35,0.8000000000000002
adaboost,metabu,9960,35,0.8000000000000002
adaboost,metabu,9964,35,0.8000000000000002
adaboost,metabu,9971,35,0.8285714285714286
adaboost,metabu,9976,35,0.7714285714285715
adaboost,metabu,9977,35,0.7428571428571429
adaboost,metabu,9978,35,0.8000000000000002
adaboost,metabu,9981,35,0.8000000000000002
adaboost,metabu,9985,35,0.7428571428571429
adaboost,metabu,10093,35,0.7714285714285715
adaboost,metabu,10101,35,0.8571428571428572
adaboost,metabu,14952,35,0.7142857142857143
adaboost,metabu,14954,35,0.8000000000000002
adaboost,metabu,14965,35,0.8571428571428572
adaboost,metabu,14969,35,0.7714285714285715
adaboost,metabu,14970,35,0.7142857142857143
adaboost,metabu,125920,35,0.8285714285714286
adaboost,metabu,125922,35,0.8000000000000002
adaboost,metabu,146195,35,0.8571428571428572
adaboost,metabu,146800,35,0.7714285714285715
adaboost,metabu,146817,35,0.7142857142857143
adaboost,metabu,146819,35,0.7428571428571429
adaboost,metabu,146820,35,0.6857142857142857
adaboost,metabu,146821,35,0.8571428571428572
adaboost,metabu,146824,35,0.8000000000000002
adaboost,metabu,167125,35,0.8285714285714286
adaboost,AutoSklearn,3,35,0.5714285714285714
adaboost,AutoSklearn,6,35,0.6285714285714286
adaboost,AutoSklearn,11,35,0.7142857142857143
adaboost,AutoSklearn,12,35,0.5714285714285714
adaboost,AutoSklearn,14,35,0.5714285714285714
adaboost,AutoSklearn,15,35,0.6571428571428571
adaboost,AutoSklearn,16,35,0.6
adaboost,AutoSklearn,18,35,0.4857142857142857
adaboost,AutoSklearn,22,35,0.7142857142857143
adaboost,AutoSklearn,23,35,0.5428571428571428
adaboost,AutoSklearn,28,35,0.5714285714285714
adaboost,AutoSklearn,29,35,0.5428571428571428
adaboost,AutoSklearn,31,35,0.6571428571428571
adaboost,AutoSklearn,32,35,0.5714285714285714
adaboost,AutoSklearn,37,35,0.6571428571428571
adaboost,AutoSklearn,43,35,0.45714285714285713
adaboost,AutoSklearn,45,35,0.45714285714285713
adaboost,AutoSklearn,49,35,0.7428571428571429
adaboost,AutoSklearn,53,35,0.5428571428571428
adaboost,AutoSklearn,219,35,0.5428571428571428
adaboost,AutoSklearn,2074,35,0.5142857142857142
adaboost,AutoSklearn,2079,35,0.6285714285714286
adaboost,AutoSklearn,3021,35,0.7714285714285715
adaboost,AutoSklearn,3022,35,0.6285714285714286
adaboost,AutoSklearn,3481,35,0.6285714285714286
adaboost,AutoSklearn,3549,35,0.6857142857142857
adaboost,AutoSklearn,3560,35,0.4857142857142857
adaboost,AutoSklearn,3573,35,0.6857142857142857
adaboost,AutoSklearn,3902,35,0.7428571428571429
adaboost,AutoSklearn,3903,35,0.4285714285714286
adaboost,AutoSklearn,3904,35,0.5428571428571428
adaboost,AutoSklearn,3913,35,0.6857142857142857
adaboost,AutoSklearn,3917,35,0.6285714285714286
adaboost,AutoSklearn,3918,35,0.6285714285714286
adaboost,AutoSklearn,7592,35,0.6857142857142857
