task_id,feature_type,pipeline,ndcg@5,ndcg@10,ndcg@20
146800,metafeatx,random_forest,0.19999999999999998,0.1,0.1
146817,metafeatx,random_forest,0.19999999999999998,0.1,0.25
146819,metafeatx,random_forest,0.19999999999999998,0.1,0.15
146820,metafeatx,random_forest,0.5999999999999999,0.8,0.5
146821,metafeatx,random_forest,0.5999999999999999,0.6,0.7
146824,metafeatx,random_forest,0.19999999999999998,0.4,0.65
167125,metafeatx,random_forest,0.19999999999999998,0.2,0.4
3,handcrafted,random_forest,0.39999999999999997,0.3,0.4
6,handcrafted,random_forest,0.39999999999999997,0.4,0.55
11,handcrafted,random_forest,0.19999999999999998,0.4,0.4
12,handcrafted,random_forest,0.19999999999999998,0.3,0.55
14,handcrafted,random_forest,0.19999999999999998,0.5,0.6
15,handcrafted,random_forest,0.39999999999999997,0.3,0.45
16,handcrafted,random_forest,0.19999999999999998,0.5,0.55
18,handcrafted,random_forest,0.19999999999999998,0.2,0.2
22,handcrafted,random_forest,0.39999999999999997,0.5,0.55
23,handcrafted,random_forest,0.19999999999999998,0.4,0.45
28,handcrafted,random_forest,0.39999999999999997,0.6,0.6
29,handcrafted,random_forest,0.5999999999999999,0.4,0.45
31,handcrafted,random_forest,0.5999999999999999,0.4,0.4
32,handcrafted,random_forest,0.19999999999999998,0.2,0.45
37,handcrafted,random_forest,0.5999999999999999,0.4,0.35
43,handcrafted,random_forest,0.19999999999999998,0.3,0.4
45,handcrafted,random_forest,0.19999999999999998,0.2,0.35
49,handcrafted,random_forest,0.39999999999999997,0.4,0.45
53,handcrafted,random_forest,0.19999999999999998,0.3,0.35
219,handcrafted,random_forest,0.19999999999999998,0.4,0.45
2074,handcrafted,random_forest,0.19999999999999998,0.2,0.55
2079,handcrafted,random_forest,0.39999999999999997,0.4,0.4
3021,handcrafted,random_forest,0.19999999999999998,0.3,0.5
3022,handcrafted,random_forest,0.19999999999999998,0.4,0.6
3481,handcrafted,random_forest,0.5999999999999999,0.5,0.75
3549,handcrafted,random_forest,0.19999999999999998,0.3,0.45
3560,handcrafted,random_forest,0.19999999999999998,0.3,0.4
3573,handcrafted,random_forest,0.39999999999999997,0.3,0.3
3902,handcrafted,random_forest,0.19999999999999998,0.5,0.4
3903,handcrafted,random_forest,0.19999999999999998,0.2,0.35
3904,handcrafted,random_forest,0.19999999999999998,0.1,0.45
3913,handcrafted,random_forest,0.39999999999999997,0.5,0.4
3917,handcrafted,random_forest,0.19999999999999998,0.3,0.5
3918,handcrafted,random_forest,0.19999999999999998,0.3,0.45
7592,handcrafted,random_forest,0.19999999999999998,0.2,0.15
9910,handcrafted,random_forest,0.19999999999999998,0.3,0.35
9946,handcrafted,random_forest,0.19999999999999998,0.1,0.3
9952,handcrafted,random_forest,0.19999999999999998,0.2,0.4
9957,handcrafted,random_forest,0.19999999999999998,0.5,0.45
9960,handcrafted,random_forest,0.39999999999999997,0.3,0.5
9964,handcrafted,random_forest,0.5999999999999999,0.6,0.55
9971,handcrafted,random_forest,0.19999999999999998,0.1,0.2
9976,handcrafted,random_forest,0.19999999999999998,0.1,0.3
9977,handcrafted,random_forest,0.19999999999999998,0.2,0.3
9978,handcrafted,random_forest,0.39999999999999997,0.3,0.4
9981,handcrafted,random_forest,0.19999999999999998,0.3,0.4
9985,handcrafted,random_forest,0.19999999999999998,0.2,0.55
10093,handcrafted,random_forest,0.19999999999999998,0.1,0.5
10101,handcrafted,random_forest,0.39999999999999997,0.4,0.5
14952,handcrafted,random_forest,0.39999999999999997,0.2,0.35
14954,handcrafted,random_forest,0.19999999999999998,0.2,0.45
14965,handcrafted,random_forest,0.19999999999999998,0.1,0.3
14969,handcrafted,random_forest,0.5999999999999999,0.4,0.45
14970,handcrafted,random_forest,0.39999999999999997,0.5,0.7
125920,handcrafted,random_forest,0.19999999999999998,0.3,0.45
125922,handcrafted,random_forest,0.39999999999999997,0.4,0.5
146195,handcrafted,random_forest,0.19999999999999998,0.4,0.5
146800,handcrafted,random_forest,0.19999999999999998,0.1,0.2
146817,handcrafted,random_forest,0.19999999999999998,0.4,0.5
146819,handcrafted,random_forest,0.19999999999999998,0.3,0.4
146820,handcrafted,random_forest,0.19999999999999998,0.3,0.45
146821,handcrafted,random_forest,0.39999999999999997,0.3,0.45
146824,handcrafted,random_forest,0.39999999999999997,0.3,0.65
167125,handcrafted,random_forest,0.19999999999999998,0.2,0.45
3,metafeatx,libsvm_svc,0.19999999999999998,0.4,0.65
6,metafeatx,libsvm_svc,0.19999999999999998,0.3,0.45
11,metafeatx,libsvm_svc,0.39999999999999997,0.4,0.6
12,metafeatx,libsvm_svc,0.19999999999999998,0.4,0.6
14,metafeatx,libsvm_svc,0.19999999999999998,0.2,0.35
15,metafeatx,libsvm_svc,0.39999999999999997,0.2,0.4
16,metafeatx,libsvm_svc,0.19999999999999998,0.3,0.5
18,metafeatx,libsvm_svc,0.39999999999999997,0.2,0.4
22,metafeatx,libsvm_svc,0.19999999999999998,0.3,0.55
23,metafeatx,libsvm_svc,0.39999999999999997,0.6,0.65
28,metafeatx,libsvm_svc,0.39999999999999997,0.6,0.75
29,metafeatx,libsvm_svc,0.19999999999999998,0.2,0.4
31,metafeatx,libsvm_svc,0.19999999999999998,0.3,0.45
32,metafeatx,libsvm_svc,0.19999999999999998,0.4,0.75
37,metafeatx,libsvm_svc,0.19999999999999998,0.3,0.55
43,metafeatx,libsvm_svc,0.19999999999999998,0.2,0.6
45,metafeatx,libsvm_svc,0.19999999999999998,0.3,0.55
49,metafeatx,libsvm_svc,0.39999999999999997,0.4,0.45
53,metafeatx,libsvm_svc,0.5999999999999999,0.3,0.8
219,metafeatx,libsvm_svc,0.19999999999999998,0.2,0.25
2074,metafeatx,libsvm_svc,0.19999999999999998,0.2,0.35
2079,metafeatx,libsvm_svc,0.19999999999999998,0.1,0.3
3021,metafeatx,libsvm_svc,0.19999999999999998,0.1,0.35
3022,metafeatx,libsvm_svc,0.19999999999999998,0.2,0.35
3481,metafeatx,libsvm_svc,0.19999999999999998,0.1,0.15
3549,metafeatx,libsvm_svc,0.19999999999999998,0.4,0.45
3560,metafeatx,libsvm_svc,0.39999999999999997,0.3,0.6
3573,metafeatx,libsvm_svc,0.5999999999999999,0.4,0.4
3902,metafeatx,libsvm_svc,0.19999999999999998,0.4,0.6
3903,metafeatx,libsvm_svc,0.19999999999999998,0.2,0.35
3904,metafeatx,libsvm_svc,0.39999999999999997,0.8,0.75
3913,metafeatx,libsvm_svc,0.19999999999999998,0.3,0.35
3917,metafeatx,libsvm_svc,0.19999999999999998,0.3,0.4
3918,metafeatx,libsvm_svc,0.39999999999999997,0.4,0.55
7592,metafeatx,libsvm_svc,0.19999999999999998,0.1,0.2
9910,metafeatx,libsvm_svc,0.19999999999999998,0.3,0.7
9946,metafeatx,libsvm_svc,0.39999999999999997,0.4,0.6
9952,metafeatx,libsvm_svc,0.19999999999999998,0.5,0.7
9957,metafeatx,libsvm_svc,0.19999999999999998,0.6,0.7
9960,metafeatx,libsvm_svc,0.19999999999999998,0.1,0.45
9964,metafeatx,libsvm_svc,0.5999999999999999,0.5,0.65
9971,metafeatx,libsvm_svc,0.39999999999999997,0.4,0.35
9976,metafeatx,libsvm_svc,0.19999999999999998,0.3,0.4
9977,metafeatx,libsvm_svc,0.19999999999999998,0.1,0.2
9978,metafeatx,libsvm_svc,0.19999999999999998,0.2,0.25
9981,metafeatx,libsvm_svc,0.19999999999999998,0.2,0.4
9985,metafeatx,libsvm_svc,0.19999999999999998,0.3,0.6
10093,metafeatx,libsvm_svc,0.19999999999999998,0.2,0.4
10101,metafeatx,libsvm_svc,0.19999999999999998,0.3,0.5
14952,metafeatx,libsvm_svc,0.19999999999999998,0.1,0.5
14954,metafeatx,libsvm_svc,0.19999999999999998,0.1,0.25
14965,metafeatx,libsvm_svc,0.5999999999999999,0.6,0.6
14969,metafeatx,libsvm_svc,0.19999999999999998,0.6,0.65
14970,metafeatx,libsvm_svc,0.19999999999999998,0.2,0.15
125920,metafeatx,libsvm_svc,0.39999999999999997,0.4,0.55
125922,metafeatx,libsvm_svc,0.19999999999999998,0.1,0.3
146195,metafeatx,libsvm_svc,0.19999999999999998,0.1,0.35
146800,metafeatx,libsvm_svc,0.39999999999999997,0.2,0.4
146817,metafeatx,libsvm_svc,0.19999999999999998,0.1,0.25
146819,metafeatx,libsvm_svc,0.19999999999999998,0.2,0.45
146820,metafeatx,libsvm_svc,0.19999999999999998,0.4,0.45
146821,metafeatx,libsvm_svc,0.19999999999999998,0.2,0.5
146824,metafeatx,libsvm_svc,0.5999999999999999,0.8,0.7
167125,metafeatx,libsvm_svc,0.7999999999999999,0.7,0.7
3,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.45
6,handcrafted,libsvm_svc,0.5999999999999999,0.4,0.45
11,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.35
12,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.55
14,handcrafted,libsvm_svc,0.19999999999999998,0.1,0.25
15,handcrafted,libsvm_svc,0.39999999999999997,0.4,0.4
16,handcrafted,libsvm_svc,0.19999999999999998,0.4,0.7
18,handcrafted,libsvm_svc,0.19999999999999998,0.2,0.25
22,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.55
23,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.4
28,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.55
29,handcrafted,libsvm_svc,0.19999999999999998,0.2,0.35
31,handcrafted,libsvm_svc,0.19999999999999998,0.1,0.4
32,handcrafted,libsvm_svc,0.39999999999999997,0.3,0.5
37,handcrafted,libsvm_svc,0.19999999999999998,0.2,0.4
43,handcrafted,libsvm_svc,0.19999999999999998,0.2,0.25
45,handcrafted,libsvm_svc,0.39999999999999997,0.3,0.35
49,handcrafted,libsvm_svc,0.19999999999999998,0.2,0.35
53,handcrafted,libsvm_svc,0.39999999999999997,0.3,0.4
219,handcrafted,libsvm_svc,0.39999999999999997,0.4,0.5
2074,handcrafted,libsvm_svc,0.19999999999999998,0.2,0.4
2079,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.25
3021,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.4
3022,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.5
3481,handcrafted,libsvm_svc,0.39999999999999997,0.5,0.55
3549,handcrafted,libsvm_svc,0.19999999999999998,0.4,0.35
3560,handcrafted,libsvm_svc,0.39999999999999997,0.3,0.3
3573,handcrafted,libsvm_svc,0.39999999999999997,0.3,0.25
3902,handcrafted,libsvm_svc,0.19999999999999998,0.4,0.45
3903,handcrafted,libsvm_svc,0.19999999999999998,0.2,0.4
3904,handcrafted,libsvm_svc,0.19999999999999998,0.4,0.5
3913,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.45
3917,handcrafted,libsvm_svc,0.19999999999999998,0.4,0.5
3918,handcrafted,libsvm_svc,0.39999999999999997,0.2,0.4
7592,handcrafted,libsvm_svc,0.19999999999999998,0.4,0.45
9910,handcrafted,libsvm_svc,0.39999999999999997,0.5,0.4
9946,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.3
9952,handcrafted,libsvm_svc,0.19999999999999998,0.2,0.5
9957,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.3
9960,handcrafted,libsvm_svc,0.19999999999999998,0.2,0.45
9964,handcrafted,libsvm_svc,0.39999999999999997,0.4,0.6
9971,handcrafted,libsvm_svc,0.19999999999999998,0.2,0.2
9976,handcrafted,libsvm_svc,0.19999999999999998,0.4,0.35
9977,handcrafted,libsvm_svc,0.5999999999999999,0.4,0.35
9978,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.35
9981,handcrafted,libsvm_svc,0.19999999999999998,0.1,0.35
9985,handcrafted,libsvm_svc,0.5999999999999999,0.3,0.4
10093,handcrafted,libsvm_svc,0.19999999999999998,0.2,0.35
10101,handcrafted,libsvm_svc,0.19999999999999998,0.1,0.4
14952,handcrafted,libsvm_svc,0.19999999999999998,0.1,0.25
14954,handcrafted,libsvm_svc,0.19999999999999998,0.1,0.35
14965,handcrafted,libsvm_svc,0.39999999999999997,0.3,0.35
14969,handcrafted,libsvm_svc,0.5999999999999999,0.5,0.4
14970,handcrafted,libsvm_svc,0.39999999999999997,0.3,0.5
125920,handcrafted,libsvm_svc,0.39999999999999997,0.4,0.35
125922,handcrafted,libsvm_svc,0.19999999999999998,0.1,0.45
146195,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.45
146800,handcrafted,libsvm_svc,0.19999999999999998,0.2,0.35
146817,handcrafted,libsvm_svc,0.19999999999999998,0.2,0.4
146819,handcrafted,libsvm_svc,0.39999999999999997,0.3,0.2
146820,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.35
146821,handcrafted,libsvm_svc,0.39999999999999997,0.3,0.45
146824,handcrafted,libsvm_svc,0.19999999999999998,0.3,0.3
167125,handcrafted,libsvm_svc,0.39999999999999997,0.4,0.45
