rank,flow,utility_score,target_dataset
1,boosting,0.9397468141956062,anneal_task-1
2,sda,0.9941399135636454,anneal_task-1
3,randomForest,0.9963548951328924,anneal_task-1
4,lda,0.9983167084480129,anneal_task-1
5,pamr,1.0,anneal_task-1
