task_id,classifier__C,classifier__coef0,classifier__degree,classifier__gamma,classifier__tol,classifier__kernel_0.0,classifier__kernel_1.0,classifier__kernel_2.0,classifier__shrinking_0.0,imputation__strategy_0.0,imputation__strategy_1.0,imputation__strategy_2.0
3,0.8982264080566718,-0.08783490202513966,1.4329031380017934,-0.33512133313608433,1.0691791619443818,1.0,0.0,0.0,1.0,1.0,0.0,0.0
3,0.7014723771320406,1.0788640637193847,1.4329031380017934,-0.4615518329357958,-1.6224888963913473,1.0,0.0,0.0,1.0,0.0,1.0,0.0
3,0.5883582737105291,1.222943263492198,-0.6925172997424176,-0.37925841045447256,-0.7030223956206634,1.0,0.0,0.0,1.0,1.0,0.0,0.0
3,0.9605590012503219,0.831280677012953,0.7244296587537228,-0.16243164748236613,-0.8840475843944189,1.0,0.0,0.0,1.0,1.0,0.0,0.0
3,1.3889486682432457,1.3251579213047835,1.4329031380017934,-0.29271686239836997,0.1693736491554698,1.0,0.0,0.0,1.0,0.0,0.0,1.0
3,1.070287357090898,-0.23253177374640904,0.7244296587537228,-0.1200717640252413,1.6271795400074036,1.0,0.0,0.0,1.0,0.0,0.0,1.0
3,1.64071431854118,0.2714684129873419,0.7244296587537228,-0.7889709924263713,1.5359380245399732,1.0,0.0,0.0,1.0,0.0,1.0,0.0
3,0.8643937962283595,-1.0557451065638808,-0.6925172997424176,-0.12176157058296007,1.0020638570750062,1.0,0.0,0.0,1.0,0.0,1.0,0.0
3,-0.6840567095056889,1.697150048463061,1.4329031380017934,0.3249740646804578,1.318756747943668,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3,0.4706405315968385,1.363574954836757,1.4329031380017934,1.759229427533585,0.7921819417141188,0.0,1.0,0.0,1.0,0.0,0.0,1.0
3,1.149045940563184,-1.2336362938891567,0.7244296587537228,-0.02217652368592317,1.6660968294272644,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3,-1.2285338475364795,1.0047374978469326,1.4329031380017934,0.7958626657727115,1.2166376769091485,0.0,1.0,0.0,1.0,0.0,0.0,1.0
3,1.027565862316457,-0.3995009699520736,0.015956179505652604,-0.6099595407333779,-1.371777528751924,1.0,0.0,0.0,1.0,0.0,0.0,1.0
3,0.7369110710613304,-1.012148931556951,0.7244296587537228,1.3293561178839686,1.0167041641014785,0.0,1.0,0.0,1.0,0.0,0.0,1.0
3,-0.6671279151859414,1.285619151436876,1.4329031380017934,1.091261428035584,-0.022143708911055254,0.0,1.0,0.0,1.0,0.0,0.0,1.0
3,-0.8450142379107844,0.5103860687231097,1.4329031380017934,0.7937842842643508,1.0996253618669114,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3,1.7424149997905314,-1.4447633193721086,1.4329031380017934,-0.2933802825230012,1.2084888714059694,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3,0.35889441598870997,0.22630047028441416,0.7244296587537228,-0.45706693094415746,1.5585092307433994,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3,1.6879697756077452,0.13135260613720973,1.4329031380017934,-0.8376628292642136,-0.7395668851236207,1.0,0.0,0.0,1.0,1.0,0.0,0.0
3,0.7027738514166093,1.673819220090229,1.4329031380017934,-0.7105279040313439,0.8488116005643095,0.0,1.0,0.0,1.0,0.0,0.0,1.0
6,1.0721415643930667,1.5096980980463195,0.015956179505652604,0.6090275876561341,-0.3882168951200313,1.0,0.0,0.0,1.0,0.0,0.0,1.0
6,0.1111221549008603,0.00858912464245973,-0.6925172997424176,0.6075687714543179,-0.4644561030880397,1.0,0.0,0.0,1.0,0.0,0.0,1.0
6,-0.16942169419131,-0.9500210787170674,0.7244296587537228,0.600763726125708,0.3257372673141996,1.0,0.0,0.0,1.0,0.0,0.0,1.0
6,1.6685553959303288,0.38105976139956466,-0.6925172997424176,0.5997686573384667,-1.0906104243866404,1.0,0.0,0.0,1.0,1.0,0.0,0.0
6,-0.0039823056210477065,-1.6750754023467085,1.4329031380017934,0.9309700625016116,0.2731318971202846,1.0,0.0,0.0,1.0,0.0,0.0,1.0
6,0.9362871359313559,-1.7153075300014717,-0.6925172997424176,0.9373347732199749,0.5161136417605962,1.0,0.0,0.0,1.0,0.0,0.0,1.0
