task_id,predictive_accuracy,classifier__bootstrap,classifier__criterion,classifier__max_features,classifier__min_samples_leaf,classifier__min_samples_split,imputation__strategy
14.0,0.8395,False,gini,0.36381216451152254,1,12,most_frequent
14.0,0.8395,False,entropy,0.2197323400135522,7,10,mean
14.0,0.8395,True,entropy,0.3013436274620308,2,9,most_frequent
14.0,0.8395,False,entropy,0.36325630472030335,4,2,mean
14.0,0.8384999999999999,False,gini,0.4227289481788866,1,4,mean
15.0,0.9742489270386266,True,entropy,0.12281886794286434,5,8,mean
15.0,0.9742489270386266,False,entropy,0.15600478228097858,10,7,most_frequent
15.0,0.9742489270386266,True,entropy,0.20843439366202807,20,3,most_frequent
15.0,0.9742489270386266,True,entropy,0.16629623054623527,9,19,median
15.0,0.9742489270386266,True,entropy,0.20957956121489918,2,7,most_frequent
15.0,0.9742489270386266,False,gini,0.20432378421888775,8,7,most_frequent
15.0,0.9742489270386266,True,entropy,0.2056104091610318,4,16,median
15.0,0.9742489270386266,False,gini,0.1610329277932052,7,20,median
15.0,0.9742489270386266,False,gini,0.24556752081864702,6,13,median
15.0,0.9742489270386266,True,gini,0.20565971541976494,11,18,median
15.0,0.9742489270386266,False,entropy,0.215218920681858,13,5,most_frequent
15.0,0.9742489270386266,False,entropy,0.13955751565163005,15,6,most_frequent
15.0,0.9742489270386266,True,gini,0.29874778513113376,7,19,most_frequent
15.0,0.9742489270386266,True,entropy,0.20961496652423534,3,18,mean
15.0,0.9742489270386266,False,gini,0.20560836225502543,6,16,most_frequent
15.0,0.9742489270386266,True,gini,0.14840555205911068,7,14,mean
15.0,0.9742489270386266,True,gini,0.13093396425089604,4,16,most_frequent
15.0,0.9742489270386266,False,gini,0.12992949942652088,7,13,mean
15.0,0.9742489270386266,False,gini,0.11590209520805672,12,15,mean
15.0,0.9742489270386266,False,gini,0.1976335356163994,7,15,median
16.0,0.9570000000000001,True,gini,0.21200292375987706,2,6,median
16.0,0.9570000000000001,False,gini,0.15573984113762301,3,11,median
16.0,0.9570000000000001,True,gini,0.30776446590547946,3,7,median
16.0,0.9565,True,entropy,0.11628215525110619,4,9,most_frequent
16.0,0.956,False,gini,0.20988436653976575,6,9,median
16.0,0.956,True,entropy,0.1581751934725607,2,11,most_frequent
16.0,0.9555,False,gini,0.3273001329422927,1,2,median
16.0,0.9555,False,gini,0.23364824490563302,8,8,most_frequent
16.0,0.9555,False,gini,0.1215008062123621,6,15,median
16.0,0.9555,False,entropy,0.20880096320393832,2,10,mean
16.0,0.955,False,entropy,0.12261485557135021,3,18,most_frequent
16.0,0.955,True,gini,0.12801914379359208,6,8,mean
16.0,0.9545,True,gini,0.11956501409474579,2,10,mean
16.0,0.9545,True,entropy,0.22634120948210124,2,5,median
16.0,0.9545,False,entropy,0.2690906288141679,3,3,most_frequent
16.0,0.9545,False,entropy,0.13026733107176655,4,11,median
16.0,0.9540000000000001,False,gini,0.11184417759082699,7,5,median
16.0,0.9540000000000001,True,entropy,0.17129276096252494,3,11,most_frequent
16.0,0.9540000000000001,False,entropy,0.11312699907599777,7,14,most_frequent
16.0,0.9534999999999999,True,gini,0.22509389984723047,3,13,mean
18.0,0.7190000000000001,True,entropy,0.7383149109266958,2,19,median
18.0,0.7190000000000001,False,gini,0.3836241172895988,12,2,mean
18.0,0.7190000000000001,True,entropy,0.348057267880727,4,2,most_frequent
18.0,0.7190000000000001,True,entropy,0.6761234668151236,6,20,most_frequent
18.0,0.7190000000000001,True,gini,0.2686400595023984,2,10,most_frequent
18.0,0.7184999999999999,False,entropy,0.3458493631647702,8,6,most_frequent
18.0,0.7184999999999999,False,gini,0.6334310620994157,16,2,mean
18.0,0.7184999999999999,True,gini,0.8278298022114474,11,18,median
18.0,0.7184999999999999,True,entropy,0.4129905263830247,8,8,median
18.0,0.7184999999999999,False,gini,0.4419635936128754,7,14,most_frequent
18.0,0.7184999999999999,True,entropy,0.871503028203046,11,8,mean
18.0,0.7184999999999999,False,gini,0.44219168320542923,11,2,most_frequent
18.0,0.718,True,entropy,0.3402891747296348,7,9,mean
18.0,0.718,False,entropy,0.5683414294760122,13,8,most_frequent
18.0,0.718,False,gini,0.6392355587060742,17,8,most_frequent
18.0,0.718,True,gini,0.7842581800756221,10,14,most_frequent
18.0,0.718,True,gini,0.40789417079145807,5,8,mean
18.0,0.718,True,entropy,0.8982960922187473,7,10,most_frequent
18.0,0.718,False,gini,0.6360766643106837,15,17,median
18.0,0.718,True,gini,0.8527762209929107,14,2,mean
22.0,0.7715000000000001,True,entropy,0.20395440199524356,1,4,mean
22.0,0.7709999999999999,False,entropy,0.42166567829652024,1,6,most_frequent
22.0,0.77,False,gini,0.4026958808800145,3,8,most_frequent
22.0,0.77,False,gini,0.3737004268014714,2,13,most_frequent
22.0,0.7695000000000001,True,gini,0.2577540605726297,1,13,median
22.0,0.7695000000000001,False,gini,0.2168497275463798,4,6,median
22.0,0.769,False,gini,0.13471391585576226,4,10,mean
22.0,0.769,False,gini,0.11899110510261748,1,19,median
22.0,0.769,False,gini,0.14214977948257668,5,6,median
22.0,0.769,False,gini,0.19084248763438874,4,8,most_frequent
22.0,0.7685,True,gini,0.3904266107711515,1,9,mean
22.0,0.7685,True,gini,0.17641800592381252,1,15,most_frequent
22.0,0.7685,True,entropy,0.14728557410779342,3,3,most_frequent
22.0,0.768,False,gini,0.392736506840071,4,7,median
22.0,0.7675,False,entropy,0.36409679731056843,3,9,median
22.0,0.7675,True,entropy,0.20345955561969423,2,8,most_frequent
22.0,0.767,False,entropy,0.11010493496518628,7,10,mean
22.0,0.767,False,gini,0.3031101461573359,5,6,most_frequent
22.0,0.7659999999999999,False,entropy,0.1320869750841296,6,14,mean
22.0,0.7659999999999999,False,entropy,0.2365627197317447,4,15,most_frequent
23.0,0.5668703326544466,False,entropy,0.7345763385309506,20,14,most_frequent
23.0,0.5668703326544466,False,entropy,0.7303600093177205,18,20,mean
23.0,0.5668703326544466,False,entropy,0.7629785805800389,18,8,most_frequent
23.0,0.5668703326544466,True,gini,0.7194459436491212,16,16,median
23.0,0.5668703326544466,True,entropy,0.59085827825234,16,18,mean
23.0,0.5668703326544466,False,entropy,0.7311116368425358,18,11,median
23.0,0.5668703326544466,False,gini,0.40530467025705663,17,18,median
23.0,0.5668703326544466,True,entropy,0.6381892269778308,18,7,most_frequent
23.0,0.5668703326544466,True,entropy,0.6637379191205351,8,11,most_frequent
23.0,0.5668703326544466,True,entropy,0.4782882335339752,9,9,median
23.0,0.5661914460285132,False,entropy,0.5584821497008106,19,6,mean
23.0,0.5655125594025797,False,entropy,0.3723422618127824,17,15,most_frequent
23.0,0.5655125594025797,True,gini,0.7239008752401028,16,15,median
23.0,0.5655125594025797,True,gini,0.8571806376218009,20,18,most_frequent
23.0,0.5655125594025797,True,gini,0.41089140517938416,12,16,median
23.0,0.5648336727766463,False,entropy,0.7411608455259454,12,17,median
23.0,0.5648336727766463,False,gini,0.4420859924743492,19,17,mean
23.0,0.5648336727766463,True,entropy,0.7978102763195992,19,3,mean
23.0,0.5648336727766463,True,entropy,0.5801861578415689,13,9,most_frequent
23.0,0.5648336727766463,False,entropy,0.7004758400290172,13,15,most_frequent
28.0,0.9814946619217082,False,entropy,0.32687706641868786,3,3,median
28.0,0.9811387900355872,False,gini,0.1482824501671418,3,13,median
28.0,0.9807829181494663,True,entropy,0.18426324099515767,3,8,most_frequent
28.0,0.9807829181494663,False,gini,0.14487346535541168,5,11,median
28.0,0.9806049822064057,False,gini,0.11627173190591532,6,10,most_frequent
28.0,0.9804270462633453,False,entropy,0.27146321795510514,3,4,mean
28.0,0.9802491103202847,False,entropy,0.19889968307540498,4,15,mean
28.0,0.9800711743772241,False,gini,0.22045918826332767,3,17,mean
28.0,0.9800711743772241,True,entropy,0.1681128413567044,2,12,mean
28.0,0.9800711743772241,True,entropy,0.29817795875059205,2,8,most_frequent
28.0,0.9798932384341638,True,gini,0.2197957853508041,3,3,most_frequent
28.0,0.9793594306049822,False,entropy,0.172765940750499,6,13,median
28.0,0.9793594306049822,False,entropy,0.445272913414435,3,4,median
28.0,0.9793594306049822,False,entropy,0.13475506051367409,4,14,median
28.0,0.9793594306049822,True,entropy,0.1725425087050148,1,12,most_frequent
28.0,0.9793594306049822,False,gini,0.15871730017355923,7,10,mean
28.0,0.9791814946619217,False,entropy,0.38409484868688903,1,14,median
28.0,0.9791814946619217,False,gini,0.29762240180471256,5,10,most_frequent
28.0,0.9791814946619217,False,entropy,0.12141555735276528,7,2,mean
28.0,0.9791814946619217,False,entropy,0.2033111596064437,5,7,mean
29.0,0.8782608695652173,True,entropy,0.4605428467228261,3,5,mean
29.0,0.8782608695652173,True,entropy,0.7306338379508238,4,2,mean
29.0,0.8782608695652173,True,gini,0.7760744709607249,3,11,mean
