task_id,predictive_accuracy,classifier__C,classifier__coef0,classifier__degree,classifier__gamma,classifier__kernel,classifier__max_iter,classifier__shrinking,classifier__tol,imputation__strategy
3.0,0.9949937421777222,1056.2141184874788,-0.05529843542941504,5,0.003948071480454482,rbf,-1,True,0.017521469073429892,mean
3.0,0.9949937421777222,481.82067536575636,0.6178387470711413,5,0.0025053362934408787,rbf,-1,True,1.3477981970891018e-05,median
3.0,0.9949937421777222,306.8463026678597,0.7009665027644152,2,0.0033684556642000715,rbf,-1,True,0.00015607748168459113,mean
3.0,0.9949937421777222,1354.378573156999,0.4749933445682246,4,0.00734807311494356,rbf,-1,True,9.636409419161444e-05,mean
3.0,0.9949937421777222,7480.037701151999,0.7599401444581104,5,0.004598671355558018,rbf,-1,True,0.001594412188868364,most_frequent
3.0,0.9946808510638298,2098.161787179835,-0.13878256236094422,4,0.008557584146181105,rbf,-1,True,0.07746611884532284,most_frequent
3.0,0.9946808510638298,20420.91546643219,0.152004757795128,4,0.0007715211977685483,rbf,-1,True,0.060751361924028004,median
3.0,0.9946808510638298,922.8660239953637,-0.6137427017967636,2,0.008505723069329703,rbf,-1,True,0.01465297961925029,median
3.0,0.9946808510638298,1.916573401130262,0.9745642589381629,5,0.042426219452327066,poly,-1,True,0.03406454880773249,median
3.0,0.9946808510638298,191.8583843909115,0.7821051882877668,5,7.384702442360447,poly,-1,True,0.008377550930628998,most_frequent
3.0,0.9946808510638298,2872.6603979558045,-0.716378579725566,4,0.012169991790890244,poly,-1,True,0.08592797107564987,median
3.0,0.9943679599499374,0.21839666177134173,0.5750707759278888,5,0.23082931337074342,poly,-1,True,0.025951520003773126,most_frequent
3.0,0.9943679599499374,1769.4003798707108,-0.23511690189345624,3,0.0014689690657854256,rbf,-1,True,2.6282619555225113e-05,most_frequent
3.0,0.9943679599499374,554.9849423082402,-0.5885895069507918,4,1.573089615653131,poly,-1,True,0.015235723108880918,most_frequent
3.0,0.9943679599499374,2.050471548717624,0.7371279050288615,5,0.668012392480806,poly,-1,True,0.0009572764730612847,most_frequent
3.0,0.9943679599499374,1.0084969143925402,0.2898503909477923,5,0.22910995501669654,poly,-1,True,0.01900173314225948,median
3.0,0.9943679599499374,30638.43379160824,-0.8381901654525026,5,0.00458770971495969,poly,-1,True,0.02539426126744635,mean
3.0,0.9943679599499374,122.85312731087355,0.1259447178164408,4,0.002546083672529114,poly,-1,True,0.06451612406572779,median
3.0,0.9943679599499374,24657.152877930217,0.0711637163473009,5,0.0006475568664539535,rbf,-1,True,0.00014159976804149998,mean
3.0,0.9943679599499374,484.3286624676441,0.9611033332517582,5,0.0010230512609385215,poly,-1,True,0.009741615400031713,most_frequent
6.0,0.9782500000000001,2113.7386798998523,0.8664122150411859,3,0.117870067083735,rbf,-1,True,0.00036102182248378377,most_frequent
6.0,0.9782,45.722834198142834,0.0003342509293720042,2,0.11725313446322255,rbf,-1,True,0.0002946684189327844,most_frequent
6.0,0.9782,14.931551257108888,-0.5527442983379935,4,0.11441767580499193,rbf,-1,True,0.0024182157969585044,most_frequent
6.0,0.9776,22819.62400049653,0.215234445711723,2,0.11400884667325577,rbf,-1,True,5.558353420022694e-05,mean
6.0,0.9768000000000001,28.88819528264407,-0.9710707380605563,5,0.3752888142503047,rbf,-1,True,0.00210201970596003,most_frequent
