task_id,classifier__base_estimator__max_depth,classifier__learning_rate,classifier__n_estimators,classifier__algorithm_0.0,classifier__algorithm_1.0,imputation__strategy_0.0,imputation__strategy_1.0,imputation__strategy_2.0,accuracy
3,1.2373157784647724,-0.0072718942067515,-0.8669591960947227,0.0,1.0,0.0,1.0,0.0,0.8408196075038064
3,1.58549233387155,-1.605057560116506,0.4058864175182337,0.0,1.0,0.0,0.0,1.0,0.8528834212348677
3,1.58549233387155,-0.8097729516343392,0.5293138709594901,0.0,1.0,0.0,0.0,1.0,0.8197461809380862
3,-0.5035669985691166,1.2778959516673485,1.3315923183276563,1.0,0.0,1.0,0.0,0.0,0.8538556341823491
3,1.58549233387155,1.6598315328300732,-0.3732493823296972,1.0,0.0,1.0,0.0,0.0,0.8187244232077733
3,-1.199920109382672,0.9199133005954476,-0.3809635981697757,1.0,0.0,1.0,0.0,0.0,0.8203043384848707
3,-0.5035669985691166,1.1448786890089688,1.3007354549673422,0.0,1.0,0.0,1.0,0.0,0.8199260830936017
3,-0.5035669985691166,1.3860931025863992,-1.3066694989791985,1.0,0.0,1.0,0.0,0.0,0.8456176737805475
3,1.2373157784647724,-0.259383281396348,-1.1600993980177066,0.0,1.0,0.0,0.0,1.0,0.8575724035910373
3,1.58549233387155,0.4102333461715308,-1.1292425346573924,0.0,1.0,0.0,1.0,0.0,0.8534270935591105
3,1.2373157784647724,1.5525537829131988,0.9304530946435732,1.0,0.0,1.0,0.0,0.0,0.848917429858815
3,0.192786112244439,1.1270382910271426,0.0124614096742288,1.0,0.0,0.0,1.0,0.0,0.8380461592411704
3,0.192786112244439,1.598454686896358,1.3084496708074207,1.0,0.0,1.0,0.0,0.0,0.7995931500780153
3,-0.5035669985691166,1.4355004958085993,0.1976025898361133,0.0,1.0,0.0,0.0,1.0,0.8250940942126272
3,0.8891392230579946,-0.5035157953182592,-1.268098419778806,0.0,1.0,1.0,0.0,0.0,0.8554627949311567
