task_id,classifier__max_features,classifier__min_samples_leaf,classifier__min_samples_split,classifier__bootstrap_0.0,classifier__bootstrap_1.0,classifier__criterion_0.0,classifier__criterion_1.0,imputation__strategy_0.0,imputation__strategy_1.0,imputation__strategy_2.0,accuracy
3,1.0557368209641982,-1.4750618817707568,0.7278109044338698,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7858066042514674
3,0.8713603761909402,-1.3015121363393587,-1.2759108783015327,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8260458248713258
3,0.3585160598598542,-1.4750618817707568,-0.1829717240822224,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8241350331614582
3,-0.6105952555240695,-1.4750618817707568,-0.911597826895096,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9453176999538778
3,1.4994402971664764,-1.4750618817707568,0.1813413273242144,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.723692114558556
3,0.5518212390097238,-1.4750618817707568,-0.5472847754886591,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7298155963106558
3,-0.1148406537923471,-0.9544126454765618,-1.0937543525983144,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.9067184032070339
3,0.4945036117404823,-1.6486116272021551,0.7278109044338698,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8218268199960619
3,-1.3137567804102892,-1.4750618817707568,-1.0937543525983144,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9173927926363519
3,-0.301738099364056,-1.6486116272021551,1.2742804815435247,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8720049762384919
3,-0.0874038312096449,-1.3015121363393587,-0.7294413011918774,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.8167287526117094
3,1.6603335195344373,-1.6486116272021551,-0.0008151983790039,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8433114390768819
3,1.125350684012197,-1.4750618817707568,-0.7294413011918774,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7909687171992454
3,-0.4574276506342768,-1.6486116272021551,0.1813413273242144,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8827409406808412
3,-1.072932625194348,-1.4750618817707568,1.2742804815435247,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8273250421755057
3,-0.6028738702544317,-1.6486116272021551,-1.0937543525983144,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8408787205579121
3,-0.6703351511809946,-1.12796239090796,1.6385935329499617,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.82856008224572
3,0.3442728600728771,-1.6486116272021551,0.909967430137088,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7845748579901359
3,1.3718784499501189,-1.6486116272021551,-0.3651282497854408,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7542369648587002
3,-1.2718307390105883,-1.3015121363393587,-1.4580674040047512,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8668424169389307
3,-0.2390151796864285,-1.3015121363393587,-0.7294413011918774,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8458282724956679
3,-0.5610320045128971,-1.4750618817707568,-1.2759108783015327,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8224773768623073
3,0.7140641987809112,-1.4750618817707568,0.3634978530274328,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.746191012442827
3,-0.0220495275069983,-1.6486116272021551,-0.1829717240822224,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8312908819265903
3,-1.270284648145204,-1.6486116272021551,-0.1829717240822224,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8618319104157836
3,-0.371525223553042,-1.6486116272021551,-0.7294413011918774,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9624851567594022
3,1.4454038390717645,-1.6486116272021551,-1.6402239297079697,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7510554699301865
3,1.6955134614717011,-1.6486116272021551,-0.1829717240822224,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7791526219860732
3,-0.5841168407549643,-1.6486116272021551,-0.3651282497854408,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9038212887503917
3,0.9979765627448176,-1.6486116272021551,1.456437007246743,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.7690016070521096
3,-1.0168922880979967,-1.6486116272021551,-1.6402239297079697,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.963541846060952
3,-0.0275921765271402,-0.9544126454765618,-1.4580674040047512,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8878924346467183
3,0.7680231635599302,-1.3015121363393587,-1.6402239297079697,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.779126481109631
3,0.102595678727376,-1.4750618817707568,-1.6402239297079697,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8907346583863612
