task_id,classifier__C,classifier__coef0,classifier__degree,classifier__gamma,classifier__tol,classifier__kernel_0.0,classifier__kernel_1.0,classifier__kernel_2.0,classifier__shrinking_0.0,imputation__strategy_0.0,imputation__strategy_1.0,imputation__strategy_2.0,accuracy
3,1.149045940563184,-1.2336362938891567,0.7244296587537228,-0.0221765236859231,1.6660968294272644,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8544505626054724
3,0.8262511047117905,0.1681475641531118,-0.6925172997424176,1.220388696991357,-0.3898975449275805,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.877896975540396
3,-0.4650487918561001,0.3159382927022614,1.4329031380017934,1.6934239059727774,-0.1520527661305149,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.8283065511862536
3,-0.3424501773375369,-1.1608915341508317,1.4329031380017934,1.3002063230519696,-1.633594860091424,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8840151999381358
3,-1.349432414966344,1.09172621939853,1.4329031380017934,0.2049356472950415,-0.0524434306811991,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7628237331777247
3,-1.2285338475364795,1.0047374978469326,1.4329031380017934,0.7958626657727115,1.2166376769091485,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7204264100637929
3,1.008603403748859,0.5944215464749351,-0.6925172997424176,-0.2042780516941789,-0.4311671879147494,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8428997797174547
3,0.8814744202097078,1.0300259489345396,1.4329031380017934,-0.3858672267569593,1.0505134727548542,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7979243098241602
3,-0.3102113841083881,-0.627447284472826,1.4329031380017934,0.6279276105668805,-1.2926840273945053,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8745627643735141
3,0.7014723771320406,1.0788640637193847,1.4329031380017934,-0.4615518329357958,-1.6224888963913473,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9067835424645345
3,1.3889486682432457,1.3251579213047835,1.4329031380017934,-0.2927168623983699,0.1693736491554698,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8283419819813324
3,0.0296084182724052,-0.7426741711966885,0.7244296587537228,-0.1154970324761515,-0.1672963086535664,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9383478436001917
3,-1.5225756163621509,0.7167149269051478,1.4329031380017934,1.1862687865318535,1.340873783596738,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7728609843120215
3,0.3586915058990353,-0.6746698297026454,-0.6925172997424176,-0.1577869690874123,1.6877286733893535,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9355355742738372
3,0.3279202540449189,0.2783089614620981,1.4329031380017934,-0.3317305735789837,0.0990043779139732,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8039879619408079
3,-0.7019702378756824,-1.189203770358187,1.4329031380017934,0.3665167043343408,0.1317480895624025,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.8940386522763634
3,-0.8696217555989902,-1.1778658851302557,1.4329031380017934,1.6783844098227616,-0.8281419241427712,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.895620925804727
3,-0.6671279151859414,1.285619151436876,1.4329031380017934,1.091261428035584,-0.0221437089110552,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7956480687401458
3,-0.2841285869242325,0.8565521320062046,0.7244296587537228,1.1124598656840514,1.316757384983265,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.7849932247393024
