training_size,method,repeat,ndcg_k,split,mean_ndcg
30,autosklearn,2,20,test,0.4400000000000001
40,metafeatx,0,5,train,0.4824358974358973
40,metafeatx,0,5,test,0.32499999999999996
40,metafeatx,0,10,train,0.4871153846153845
40,metafeatx,0,10,test,0.34500000000000003
40,metafeatx,0,15,train,0.5494444444444445
40,metafeatx,0,15,test,0.41500000000000004
40,metafeatx,0,20,train,0.5939423076923076
40,metafeatx,0,20,test,0.48624999999999996
40,autosklearn,0,5,train,0.32499999999999996
40,autosklearn,0,5,test,0.32499999999999996
40,autosklearn,0,10,train,0.3
40,autosklearn,0,10,test,0.3
40,autosklearn,0,15,train,0.35000000000000003
40,autosklearn,0,15,test,0.35
40,autosklearn,0,20,train,0.42125
40,autosklearn,0,20,test,0.42125
40,metafeatx,1,5,train,0.4424358974358974
40,metafeatx,1,5,test,0.295
40,metafeatx,1,10,train,0.48769230769230765
40,metafeatx,1,10,test,0.27
40,metafeatx,1,15,train,0.567905982905983
40,metafeatx,1,15,test,0.335
40,metafeatx,1,20,train,0.6200961538461538
40,metafeatx,1,20,test,0.41500000000000004
40,autosklearn,1,5,train,0.30999999999999994
40,autosklearn,1,5,test,0.30999999999999994
40,autosklearn,1,10,train,0.3125
40,autosklearn,1,10,test,0.3125
40,autosklearn,1,15,train,0.35166666666666674
40,autosklearn,1,15,test,0.3516666666666667
40,autosklearn,1,20,train,0.42625
40,autosklearn,1,20,test,0.4262499999999999
40,metafeatx,2,5,train,0.44871794871794857
40,metafeatx,2,5,test,0.2899999999999999
40,metafeatx,2,10,train,0.4946153846153846
40,metafeatx,2,10,test,0.30500000000000005
40,metafeatx,2,15,train,0.5767094017094018
40,metafeatx,2,15,test,0.3833333333333333
40,metafeatx,2,20,train,0.6307371794871794
40,metafeatx,2,20,test,0.4487500000000001
40,autosklearn,2,5,train,0.3449999999999999
40,autosklearn,2,5,test,0.3449999999999999
40,autosklearn,2,10,train,0.3275
40,autosklearn,2,10,test,0.3275
40,autosklearn,2,15,train,0.37333333333333335
40,autosklearn,2,15,test,0.37333333333333335
40,autosklearn,2,20,train,0.43375
40,autosklearn,2,20,test,0.43375
50,metafeatx,0,5,train,0.45510204081632644
50,metafeatx,0,5,test,0.31599999999999995
50,metafeatx,0,10,train,0.520326530612245
50,metafeatx,0,10,test,0.31200000000000006
50,metafeatx,0,15,train,0.5987755102040815
50,metafeatx,0,15,test,0.37599999999999995
50,metafeatx,0,20,train,0.6539999999999999
50,metafeatx,0,20,test,0.436
50,autosklearn,0,5,train,0.3439999999999999
50,autosklearn,0,5,test,0.3439999999999999
50,autosklearn,0,10,train,0.326
50,autosklearn,0,10,test,0.326
50,autosklearn,0,15,train,0.37333333333333335
50,autosklearn,0,15,test,0.37333333333333335
50,autosklearn,0,20,train,0.435
50,autosklearn,0,20,test,0.43500000000000005
50,metafeatx,1,5,train,0.4415510204081633
50,metafeatx,1,5,test,0.29599999999999993
50,metafeatx,1,10,train,0.4970204081632652
50,metafeatx,1,10,test,0.348
50,metafeatx,1,15,train,0.5681632653061225
50,metafeatx,1,15,test,0.41733333333333333
50,metafeatx,1,20,train,0.6261632653061224
50,metafeatx,1,20,test,0.484
50,autosklearn,1,5,train,0.3479999999999999
50,autosklearn,1,5,test,0.348
50,autosklearn,1,10,train,0.324
50,autosklearn,1,10,test,0.324
50,autosklearn,1,15,train,0.36266666666666664
50,autosklearn,1,15,test,0.36266666666666664
50,autosklearn,1,20,train,0.423
50,autosklearn,1,20,test,0.42300000000000004
50,metafeatx,2,5,train,0.48130612244897947
50,metafeatx,2,5,test,0.324
50,metafeatx,2,10,train,0.5437142857142857
50,metafeatx,2,10,test,0.36400000000000005
50,metafeatx,2,15,train,0.6111292517006802
50,metafeatx,2,15,test,0.436
50,metafeatx,2,20,train,0.648469387755102
50,metafeatx,2,20,test,0.494
50,autosklearn,2,5,train,0.316
50,autosklearn,2,5,test,0.316
50,autosklearn,2,10,train,0.324
50,autosklearn,2,10,test,0.324
50,autosklearn,2,15,train,0.36266666666666664
50,autosklearn,2,15,test,0.36266666666666664
50,autosklearn,2,20,train,0.435
50,autosklearn,2,20,test,0.43500000000000005
60,metafeatx,0,5,train,0.4656497175141242
60,metafeatx,0,5,test,0.3033333333333333
60,metafeatx,0,10,train,0.5303954802259887
60,metafeatx,0,10,test,0.3116666666666667
60,metafeatx,0,15,train,0.6064971751412429
60,metafeatx,0,15,test,0.37888888888888883
60,metafeatx,0,20,train,0.6642514124293785
60,metafeatx,0,20,test,0.45000000000000007
60,autosklearn,0,5,train,0.33999999999999986
60,autosklearn,0,5,test,0.3399999999999999
60,autosklearn,0,10,train,0.31500000000000017
60,autosklearn,0,10,test,0.31500000000000006
60,autosklearn,0,15,train,0.3577777777777778
60,autosklearn,0,15,test,0.35777777777777775
60,autosklearn,0,20,train,0.42166666666666675
60,autosklearn,0,20,test,0.42166666666666663
60,metafeatx,1,5,train,0.4701129943502824
60,metafeatx,1,5,test,0.31999999999999995
60,metafeatx,1,10,train,0.5356779661016948
60,metafeatx,1,10,test,0.3266666666666667
60,metafeatx,1,15,train,0.6119962335216572
60,metafeatx,1,15,test,0.39222222222222225
60,metafeatx,1,20,train,0.6706638418079097
60,metafeatx,1,20,test,0.4691666666666666
60,autosklearn,1,5,train,0.33999999999999986
60,autosklearn,1,5,test,0.3399999999999999
60,autosklearn,1,10,train,0.3216666666666667
60,autosklearn,1,10,test,0.32166666666666666
60,autosklearn,1,15,train,0.3611111111111112
60,autosklearn,1,15,test,0.3611111111111111
60,autosklearn,1,20,train,0.4241666666666667
60,autosklearn,1,20,test,0.42416666666666664
60,metafeatx,2,5,train,0.46033898305084736
60,metafeatx,2,5,test,0.3199999999999999
60,metafeatx,2,10,train,0.5358192090395479
60,metafeatx,2,10,test,0.325
60,metafeatx,2,15,train,0.6122598870056498
60,metafeatx,2,15,test,0.39555555555555555
60,metafeatx,2,20,train,0.671045197740113
60,metafeatx,2,20,test,0.4616666666666667
60,autosklearn,2,5,train,0.3366666666666666
60,autosklearn,2,5,test,0.3366666666666666
60,autosklearn,2,10,train,0.31833333333333336
60,autosklearn,2,10,test,0.31833333333333336
60,autosklearn,2,15,train,0.3577777777777778
60,autosklearn,2,15,test,0.35777777777777775
60,autosklearn,2,20,train,0.41666666666666674
60,autosklearn,2,20,test,0.4166666666666667
