Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,n_estimators,learning_rate,base_estimator__max_depth,random_state
sick_38,4,0.9482758620689656,0.5207288265228271,0.0213441848754882,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,27,0.1084188326075446,1,0
sick_38,4,0.9482758620689656,0.5135045051574707,0.0183751583099365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,15,0.3860265909826971,2,0
autoUniv-au6-1000_1555,3,0.315,0.0878164768218994,0.0062694549560546,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87,3.517902088385905,1,0
autoUniv-au6-1000_1555,3,0.315,0.0875389575958252,0.006321907043457,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,1.0862281548078918,1,0
autoUniv-au6-1000_1555,3,0.315,0.0893659591674804,0.0064311027526855,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,0.4968109808427012,1,0
autoUniv-au6-1000_1555,3,0.315,0.09084153175354,0.0065011978149414,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0.553960233702723,1,0
autoUniv-au6-1000_1555,3,0.31,0.0941691398620605,0.0066866874694824,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,0.1006253146586127,1,0
autoUniv-au6-1000_1555,3,0.31,0.1271679401397705,0.0072119235992431,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,53,0.3977416354281733,1,0
autoUniv-au6-1000_1555,3,0.31,0.0912849903106689,0.0067076683044433,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,1.96298727032785,1,0
autoUniv-au6-1000_1555,3,0.31,0.091836929321289,0.006528615951538,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,8.879507688866989,1,0
autoUniv-au6-1000_1555,3,0.31,0.0945522785186767,0.0064826011657714,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,4.944491720059559,1,0
autoUniv-au6-1000_1555,3,0.31,0.0924768447875976,0.0066823959350585,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0.1114781952759669,1,0
autoUniv-au6-1000_1555,3,0.31,0.1279993057250976,0.0080468654632568,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,35,6.267887737766834,1,0
autoUniv-au6-1000_1555,3,0.31,0.092987060546875,0.0066468715667724,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,3.68465496749644,1,0
autoUniv-au6-1000_1555,3,0.31,0.1055607795715332,0.0071513652801513,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,3.637074919797048,1,0
autoUniv-au6-1000_1555,3,0.31,0.1228682994842529,0.0072641372680664,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0.8241220193322282,3,0
autoUniv-au6-1000_1555,3,0.31,0.0910444259643554,0.0066184997558593,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,71,0.6251879315184561,1,0
autoUniv-au6-1000_1555,3,0.31,0.0959153175354003,0.0065939426422119,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0.4034887754186363,2,0
autoUniv-au6-1000_1555,3,0.31,0.0973889827728271,0.0067305564880371,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0.1353286401743196,3,0
autoUniv-au6-1000_1555,3,0.31,0.0947980880737304,0.0069758892059326,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0.2860689533348632,2,0
autoUniv-au6-1000_1555,3,0.31,0.0909347534179687,0.0065436363220214,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0.311320177905108,1,0
autoUniv-au6-1000_1555,3,0.31,0.09629487991333,0.0066065788269042,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,0.929296153240028,1,0
analcatdata_creditscore_461,4,1.0,0.0608582496643066,0.0058729648590087,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,68,3.1252791398420743,3,0
analcatdata_creditscore_461,3,1.0,0.0612895488739013,0.005739688873291,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,0.8863794052329065,1,0
analcatdata_creditscore_461,4,1.0,0.061079978942871,0.0058875083923339,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,47,0.1305235564942116,1,0
analcatdata_creditscore_461,3,1.0,0.0641484260559082,0.0059137344360351,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,42,8.233407334820422,1,0
analcatdata_creditscore_461,1,1.0,0.0949764251708984,0.0066611766815185,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13,7.681546045472571,3,0
analcatdata_creditscore_461,3,1.0,0.0630106925964355,0.0067064762115478,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,3.7185967577495744,2,0
analcatdata_creditscore_461,0,1.0,0.0644540786743164,0.0056519508361816,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,9.608504616282872,1,0
analcatdata_creditscore_461,1,1.0,0.0594241619110107,0.005648136138916,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76,1.227339370198521,1,0
analcatdata_creditscore_461,3,1.0,0.0575201511383056,0.0054831504821777,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,59,8.42435579324353,1,0
analcatdata_creditscore_461,4,1.0,0.0675351619720459,0.0059552192687988,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0.1416478807434937,1,0
analcatdata_creditscore_461,0,1.0,0.0703580379486084,0.0063164234161376,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58,0.5387180121583347,2,0
analcatdata_creditscore_461,1,1.0,0.0615894794464111,0.0058193206787109,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0.2823335806317766,1,0
analcatdata_creditscore_461,3,1.0,0.0575439929962158,0.0057122707366943,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,0.2464144480417359,3,0
analcatdata_creditscore_461,3,1.0,0.0557477474212646,0.0054719448089599,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65,0.1912519613976128,2,0
analcatdata_creditscore_461,4,1.0,0.0562186241149902,0.0053415298461914,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76,1.7572246350245369,3,0
analcatdata_creditscore_461,0,1.0,0.0553836822509765,0.0054209232330322,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73,3.652949862704225,1,0
analcatdata_creditscore_461,1,1.0,0.0785608291625976,0.0093746185302734,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,1.434157336275131,1,0
analcatdata_creditscore_461,3,1.0,0.0599215030670166,0.0053796768188476,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42,0.1967548376182682,1,0
analcatdata_creditscore_461,4,1.0,0.0564663410186767,0.0054142475128173,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,4.190323377889437,1,0
analcatdata_creditscore_461,1,1.0,0.0594444274902343,0.0055270195007324,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74,1.8702919918943963,2,0
sa-heart_1498,2,0.782608695652174,0.1564409732818603,0.0062718391418457,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,38,0.5974910610256018,3,0
sa-heart_1498,2,0.782608695652174,0.1457552909851074,0.0058951377868652,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,45,2.229772685404139,1,0
sa-heart_1498,2,0.782608695652174,0.0932075977325439,0.006366491317749,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0.3309862545869124,1,0
sa-heart_1498,2,0.782608695652174,0.0916230678558349,0.0062968730926513,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0.4902125404014117,1,0
sa-heart_1498,2,0.782608695652174,0.1499707698822021,0.0062036514282226,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,70,6.838670612610138,1,0
sa-heart_1498,2,0.782608695652174,0.0854279994964599,0.006406545639038,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,84,0.381073730356787,2,0
sa-heart_1498,2,0.782608695652174,0.1043276786804199,0.006948709487915,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0.8709165355647115,1,0
sa-heart_1498,2,0.782608695652174,0.0840263366699218,0.0067026615142822,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,75,6.029513540476022,1,0
sa-heart_1498,2,0.782608695652174,0.0824043750762939,0.0060961246490478,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,59,2.602811401867612,1,0
sa-heart_1498,2,0.782608695652174,0.1466484069824218,0.0059854984283447,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,34,0.1331700161242248,1,0
sa-heart_1498,2,0.782608695652174,0.1412174701690673,0.0058445930480957,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,59,0.1970634530954033,1,0
sa-heart_1498,2,0.782608695652174,0.0838057994842529,0.0060460567474365,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,88,0.1036771813334599,1,0
sa-heart_1498,2,0.782608695652174,0.1526470184326172,0.0062408447265625,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,49,1.827441909116699,1,0
sa-heart_1498,2,0.782608695652174,0.0803894996643066,0.0059401988983154,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,89,0.7858630163181427,1,0
sa-heart_1498,2,0.782608695652174,0.0988273620605468,0.0066823959350585,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0.1855879188983951,1,0
sa-heart_1498,2,0.782608695652174,0.0985691547393798,0.006749153137207,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,8.238881228287708,3,0
sa-heart_1498,2,0.782608695652174,0.1010918617248535,0.0066823959350585,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,1.1463558402697387,1,0
sa-heart_1498,2,0.782608695652174,0.0825753211975097,0.005967378616333,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,43,0.304639762571054,2,0
sa-heart_1498,0,0.7741935483870968,0.1555826663970947,0.006556749343872,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,52,1.0027834144115764,1,0
sa-heart_1498,0,0.7741935483870968,0.1506829261779785,0.006232738494873,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,2.286865725180224,1,0
autoUniv-au6-400_1551,3,0.45,0.0755014419555664,0.0064976215362548,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45,0.1420621672886275,1,0
autoUniv-au6-400_1551,3,0.45,0.0756950378417968,0.006415843963623,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,59,0.3543297600236985,1,0
autoUniv-au6-400_1551,3,0.45,0.0758049488067627,0.0065155029296875,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,87,4.110843862377044,1,0
autoUniv-au6-400_1551,3,0.45,0.0750927925109863,0.00649094581604,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37,0.8304810761595337,3,0
autoUniv-au6-400_1551,3,0.45,0.075653076171875,0.0063908100128173,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,1.239236749907116,2,0
autoUniv-au6-400_1551,3,0.45,0.0755538940429687,0.0065882205963134,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0.7338917479505286,1,0
autoUniv-au6-400_1551,3,0.45,0.076777696609497,0.0064995288848876,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73,0.1224052049180323,1,0
autoUniv-au6-400_1551,3,0.45,0.080327033996582,0.0068361759185791,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,0.2145356940496354,1,0
autoUniv-au6-400_1551,3,0.45,0.0757660865783691,0.0064818859100341,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0.7781857565708278,1,0
autoUniv-au6-400_1551,3,0.45,0.077420949935913,0.0067265033721923,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63,0.2620420152952988,1,0
autoUniv-au6-400_1551,3,0.45,0.0777804851531982,0.0068426132202148,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,0.1258803834940145,1,0
autoUniv-au6-400_1551,3,0.45,0.0778627395629882,0.0064687728881835,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74,4.867425669228479,1,0
autoUniv-au6-400_1551,3,0.45,0.0765185356140136,0.006481647491455,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,9.170331985304053,1,0
autoUniv-au6-400_1551,3,0.45,0.0764193534851074,0.0064172744750976,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42,3.857320701045871,2,0
autoUniv-au6-400_1551,3,0.45,0.0756218433380127,0.0064196586608886,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,5.099996093178036,1,0
autoUniv-au6-400_1551,3,0.45,0.0763602256774902,0.0064384937286376,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0.3047574005942792,1,0
autoUniv-au6-400_1551,3,0.45,0.0759017467498779,0.0065436363220214,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,8.341688171194734,1,0
autoUniv-au6-400_1551,3,0.45,0.07568359375,0.0064461231231689,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57,0.2476574568432309,2,0
autoUniv-au6-400_1551,3,0.45,0.0753436088562011,0.0063719749450683,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50,7.995757621776506,2,0
autoUniv-au6-400_1551,3,0.45,0.0753216743469238,0.0063943862915039,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,9.764243199790014,2,0
analcatdata_marketing_986,0,0.684931506849315,0.066918134689331,0.0055286884307861,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15,2.6512190490074845,1,0
analcatdata_marketing_986,0,0.684931506849315,0.0704517364501953,0.0056672096252441,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,39,9.168271457958912,1,0
analcatdata_marketing_986,0,0.684931506849315,0.071735143661499,0.0058715343475341,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,41,1.3774617853157878,1,0
analcatdata_marketing_986,4,0.6666666666666666,0.1364328861236572,0.0088796615600585,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,30,0.330433116409891,3,0
analcatdata_marketing_986,4,0.6666666666666666,0.1260948181152343,0.0087041854858398,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,46,0.7481553249207936,3,0
analcatdata_marketing_986,4,0.6666666666666666,0.1328370571136474,0.0089602470397949,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,60,1.5385863344260402,2,0
analcatdata_marketing_986,0,0.6575342465753424,0.0649516582489013,0.005495548248291,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,97,0.1400113116128939,2,0
analcatdata_marketing_986,0,0.6575342465753424,0.0659644603729248,0.0058691501617431,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,54,1.756655214619181,2,0
analcatdata_marketing_986,0,0.6575342465753424,0.0707056522369384,0.0062611103057861,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,56,9.169711532362774,1,0
analcatdata_marketing_986,0,0.6575342465753424,0.0619726181030273,0.0053598880767822,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,48,0.2400022424644894,1,0
analcatdata_marketing_986,0,0.6575342465753424,0.0704107284545898,0.0064470767974853,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,3.847602804134435,4,0
analcatdata_marketing_986,0,0.6575342465753424,0.0689818859100341,0.006098985671997,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,49,6.543311376522549,1,0
analcatdata_marketing_986,0,0.6575342465753424,0.0656270980834961,0.0055954456329345,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,52,7.71619484448179,3,0
analcatdata_marketing_986,0,0.6575342465753424,0.0651590824127197,0.0058066844940185,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,112,8.322833542959781,1,0
analcatdata_marketing_986,0,0.6575342465753424,0.0652394294738769,0.0057301521301269,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,45,1.1038734232651195,3,0
analcatdata_marketing_986,0,0.6575342465753424,0.0658729076385498,0.0058026313781738,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,58,9.00773945656954,1,0
analcatdata_marketing_986,0,0.6575342465753424,0.0669088363647461,0.0056860446929931,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,49,3.2705471479555186,2,0
analcatdata_marketing_986,0,0.6575342465753424,0.0684595108032226,0.0060243606567382,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,21,0.2105440014031997,1,0
analcatdata_marketing_986,0,0.6575342465753424,0.0694811344146728,0.0061707496643066,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,79,0.8990838837753297,1,0
analcatdata_marketing_986,0,0.6575342465753424,0.0645606517791748,0.005587100982666,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,69,2.73314297393594,1,0
badges2_1121,1,1.0,0.0696198940277099,0.0058753490447998,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70,0.3123781378338479,3,0
badges2_1121,4,1.0,0.0029137134552001,0.0003175735473632,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,1.9108665895649768,1,0
badges2_1121,0,1.0,0.0033776760101318,0.0010280609130859,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85,2.153778107087884,1,0
badges2_1121,1,1.0,0.0030052661895751,0.0011072158813476,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0.2115434036093694,1,0
badges2_1121,2,1.0,0.0030193328857421,0.0010609626770019,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,65,1.3494929650441096,1,0
badges2_1121,0,1.0,0.0023374557495117,0.0002357959747314,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,105,3.49344429009004,2,0
badges2_1121,1,1.0,0.0022776126861572,0.0002758502960205,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25,0.994927257282966,2,0
badges2_1121,2,1.0,0.0022990703582763,0.0002386569976806,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,36,0.1057319479640471,1,0
