Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,alpha,binarize,fit_prior
autoUniv-au6-1000_1555,3,0.315,0.0022556781768798,0.000314712524414,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9.794160608365225,0.1953542507318696,False
autoUniv-au6-1000_1555,3,0.315,0.0022687911987304,0.0002906322479248,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.1109525189389886,0.0,False
autoUniv-au6-1000_1555,3,0.315,0.0022270679473876,0.0003461837768554,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.1681575183360014,0.1648077585802445,True
autoUniv-au6-1000_1555,3,0.31,0.0021839141845703,0.000349998474121,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6555241740815192,0.0,True
autoUniv-au6-1000_1555,3,0.31,0.0023548603057861,0.0003783702850341,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.376761471124719,0.0,True
autoUniv-au6-1000_1555,3,0.31,0.0025899410247802,0.0003175735473632,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.3719535299203124,0.4363525578249854,False
autoUniv-au6-1000_1555,3,0.31,0.0023622512817382,0.0003199577331542,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3008999919133274,0.0,False
autoUniv-au6-1000_1555,3,0.31,0.0022695064544677,0.0002894401550292,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.7493121459488026,0.0,False
autoUniv-au6-1000_1555,3,0.31,0.0021462440490722,0.0002779960632324,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.1296473689613345,0.0,True
autoUniv-au6-1000_1555,3,0.31,0.0023014545440673,0.0002956390380859,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.547980740828426,0.0,False
autoUniv-au6-1000_1555,3,0.31,0.002314805984497,0.0003077983856201,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0271135182618552,0.0010473777944182,True
autoUniv-au6-1000_1555,3,0.31,0.0021255016326904,0.000298261642456,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.3203751699597703,0.0,True
autoUniv-au6-1000_1555,3,0.31,0.0022761821746826,0.0002946853637695,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.8656972939376875,0.0,True
autoUniv-au6-1000_1555,3,0.31,0.0025000572204589,0.0003354549407958,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5124971408441584,0.0,True
autoUniv-au6-1000_1555,3,0.31,0.0026862621307373,0.0003321170806884,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.6802298247799736,0.172262939932566,False
autoUniv-au6-1000_1555,3,0.31,0.0037221908569335,0.0004966259002685,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.4816678095585176,0.2823958086444591,True
autoUniv-au6-1000_1555,3,0.31,0.0021901130676269,0.0002748966217041,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2451801859354683,0.0307506023881423,True
analcatdata_creditscore_461,3,1.0,0.0013644695281982,0.000345230102539,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.9097063240750431,0.0898343944397556,True
analcatdata_creditscore_461,0,1.0,0.0012502670288085,0.0004007816314697,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.3302922185451685,0.0,True
analcatdata_creditscore_461,0,1.0,0.0013797283172607,0.000293493270874,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.1476717791080724,0.0,True
analcatdata_creditscore_461,4,1.0,0.0011734962463378,0.0002667903900146,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1731981879859056,0.0,True
analcatdata_creditscore_461,0,1.0,0.0009984970092773,0.0002617835998535,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2812967828994956,0.0,True
analcatdata_creditscore_461,3,1.0,0.0012488365173339,0.0003964900970458,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.000911942335061,0.0,True
analcatdata_creditscore_461,4,1.0,0.0012781620025634,0.0003981590270996,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.796069867126379,0.0194487863912375,False
analcatdata_creditscore_461,0,1.0,0.0011589527130126,0.0002646446228027,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5268920216190627,0.0626887557907294,True
analcatdata_creditscore_461,1,1.0,0.00111985206604,0.0002686977386474,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.785133560327564,0.4449474208215045,True
analcatdata_creditscore_461,3,1.0,0.0010902881622314,0.0002646446228027,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5034440910115545,0.0,True
analcatdata_creditscore_461,3,1.0,0.0010449886322021,0.0002689361572265,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.6446255030045646,0.1416757101614959,False
analcatdata_creditscore_461,4,1.0,0.0010426044464111,0.0002648830413818,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.6128635210471433,0.3172592689875229,False
analcatdata_creditscore_461,0,1.0,0.0014350414276123,0.0003457069396972,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2419615560641804,0.0602414637830525,True
analcatdata_creditscore_461,3,1.0,0.0011293888092041,0.0002920627593994,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.1325663553224382,0.0,True
analcatdata_creditscore_461,4,1.0,0.0010068416595458,0.0002539157867431,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.5199600933134267,0.0,False
analcatdata_creditscore_461,3,1.0,0.0011396408081054,0.0002634525299072,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.515538414165444,0.0,False
analcatdata_creditscore_461,4,1.0,0.0012049674987792,0.0002632141113281,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.215605288803453,0.0,False
analcatdata_creditscore_461,3,1.0,0.0011885166168212,0.0003376007080078,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1239851408694238,0.2446036790033801,False
analcatdata_creditscore_461,4,1.0,0.0011768341064453,0.00032639503479,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.622958535950577,0.0,False
analcatdata_creditscore_461,0,1.0,0.001122236251831,0.0002927780151367,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3200162364364072,0.0,True
sa-heart_1498,2,0.8152173913043478,0.0012214183807373,0.0003044605255126,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.563390255680324,0.2062324985317819,True
sa-heart_1498,2,0.8152173913043478,0.0012879371643066,0.0003008842468261,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.5578397609009142,0.2826515628228766,False
sa-heart_1498,2,0.8152173913043478,0.0012698173522949,0.0003027915954589,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.786585812039685,0.0,False
sa-heart_1498,2,0.8152173913043478,0.0015692710876464,0.0003530979156494,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6574374985758249,0.1980743384786488,True
sa-heart_1498,2,0.8152173913043478,0.0015718936920166,0.0003538131713867,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.108335293497841,0.0,False
sa-heart_1498,2,0.8152173913043478,0.0024201869964599,0.0004327297210693,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8505690222087328,0.0,True
sa-heart_1498,2,0.8152173913043478,0.0012974739074707,0.0002977848052978,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.8246408542422972,0.0,True
sa-heart_1498,2,0.8152173913043478,0.0014278888702392,0.0003426074981689,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7928623804115187,0.0799678202031428,False
sa-heart_1498,2,0.8152173913043478,0.0012547969818115,0.0002961158752441,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.2383770784997592,0.4480532818528903,True
sa-heart_1498,2,0.8152173913043478,0.0014815330505371,0.0003046989440917,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0370383857608303,0.0,True
sa-heart_1498,2,0.8152173913043478,0.0014319419860839,0.0003044605255126,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.140692018776191,0.0073940938449605,True
