Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,var_smoothing
analcatdata_creditscore_461,1,1.0,0.0007078647613525,0.0001344680786132,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.095227974918121e-11
analcatdata_creditscore_461,3,1.0,0.0007445812225341,0.0001361370086669,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.4064114359413782e-11
analcatdata_creditscore_461,4,1.0,0.0006327629089355,0.0001349449157714,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.947798049285631e-10
analcatdata_creditscore_461,3,1.0,0.00067138671875,0.0001347064971923,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9.745932926368312e-11
analcatdata_creditscore_461,0,1.0,0.000760793685913,0.000138521194458,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.855685524989028e-10
analcatdata_creditscore_461,0,1.0,0.0007219314575195,0.0001473426818847,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8.796972731922742e-08
analcatdata_creditscore_461,1,1.0,0.0007002353668212,0.000148057937622,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.4771535105045167e-10
analcatdata_creditscore_461,1,1.0,0.0006897449493408,0.0001368522644042,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.789891486017468e-09
analcatdata_creditscore_461,3,1.0,0.0007491111755371,0.0001587867736816,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0037095098988191e-10
analcatdata_creditscore_461,4,1.0,0.0007071495056152,0.0001380443572998,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.6356552617257839e-10
analcatdata_creditscore_461,0,1.0,0.0007073879241943,0.0001356601715087,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9.389031018549504e-11
analcatdata_creditscore_461,1,1.0,0.0006716251373291,0.0001673698425292,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.9437637605775682e-09
sa-heart_1498,2,0.8260869565217391,0.0015931129455566,0.0002074241638183,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.024802353741036e-11
sa-heart_1498,2,0.8260869565217391,0.0038034915924072,0.0002274513244628,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.472336319370694e-09
sa-heart_1498,2,0.8260869565217391,0.0009098052978515,0.0001740455627441,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5.261345164756238e-09
sa-heart_1498,2,0.8260869565217391,0.0009021759033203,0.0001659393310546,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4.842601184908002e-10
sa-heart_1498,2,0.8260869565217391,0.0010900497436523,0.0001935958862304,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2656338570603023e-11
sa-heart_1498,2,0.8260869565217391,0.0011305809020996,0.000192642211914,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2319824718498164e-11
sa-heart_1498,2,0.8260869565217391,0.0008466243743896,0.0001654624938964,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.3527802945717832e-09
sa-heart_1498,2,0.8260869565217391,0.00091552734375,0.0001697540283203,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.2740254154127977e-08
sa-heart_1498,2,0.8260869565217391,0.0008482933044433,0.0001661777496337,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.4859631431138212e-09
sa-heart_1498,2,0.8260869565217391,0.0010757446289062,0.0001938343048095,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.528430398904744e-10
