Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,random_state
autoUniv-au6-1000_1555,3,0.335,0.2908627986907959,0.0067188739776611,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,133,gini,17.0,3,1,log2,True,0
autoUniv-au6-1000_1555,3,0.335,0.3294353485107422,0.0064046382904052,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,126,log_loss,33.0,4,1,sqrt,True,0
autoUniv-au6-1000_1555,3,0.335,0.3224067687988281,0.0064456462860107,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,gini,15.0,2,2,,False,0
autoUniv-au6-1000_1555,3,0.335,0.3292253017425537,0.0066394805908203,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75,gini,20.0,2,1,log2,True,0
autoUniv-au6-1000_1555,3,0.335,0.3057122230529785,0.0061984062194824,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,145,gini,2.0,4,1,sqrt,False,0
autoUniv-au6-1000_1555,3,0.335,0.3023369312286377,0.0066547393798828,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190,gini,10.0,2,1,,False,0
autoUniv-au6-1000_1555,3,0.33,0.3629512786865234,0.0066218376159667,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,144,gini,13.0,2,2,sqrt,False,0
autoUniv-au6-1000_1555,3,0.33,0.3508529663085937,0.0079925060272216,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,129,log_loss,26.0,4,2,sqrt,True,0
autoUniv-au6-1000_1555,3,0.33,1.499316692352295,0.007134199142456,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,105,gini,36.0,2,1,,False,0
autoUniv-au6-1000_1555,3,0.33,0.3503105640411377,0.0080196857452392,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78,gini,,4,1,sqrt,False,0
autoUniv-au6-1000_1555,3,0.33,0.352311372756958,0.0065767765045166,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,176,gini,,2,1,log2,True,0
autoUniv-au6-1000_1555,3,0.33,1.4994215965270996,0.0070838928222656,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,126,gini,,2,2,,True,0
autoUniv-au6-1000_1555,3,0.325,0.2881052494049072,0.0066781044006347,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,gini,27.0,2,1,sqrt,False,0
autoUniv-au6-1000_1555,3,0.325,0.2793312072753906,0.0065071582794189,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115,log_loss,,2,1,,True,0
analcatdata_creditscore_461,0,1.0,0.1007699966430664,0.0040717124938964,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,113,entropy,23.0,4,2,sqrt,True,0
analcatdata_creditscore_461,0,1.0,0.1053037643432617,0.0052363872528076,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,121,log_loss,19.0,3,2,sqrt,False,0
