Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Training Time,Testing Time,source_csv
analcatdata_creditscore_461,none,none,pca,none,QuadraticDiscriminantAnalysis(),1,1.0,0.0007426738739013,0.0001502037048339,analcatdata_creditscore_461_results_QuadraticDiscriminantAnalysis().csv
analcatdata_creditscore_461,simpleimputer,none,extra_tree,power,QuadraticDiscriminantAnalysis(),0,1.0,0.0007333755493164,0.0001449584960937,analcatdata_creditscore_461_results_QuadraticDiscriminantAnalysis().csv
analcatdata_creditscore_461,simpleimputer,none,extra_tree,power,QuadraticDiscriminantAnalysis(),1,1.0,0.000852346420288,0.0001475811004638,analcatdata_creditscore_461_results_QuadraticDiscriminantAnalysis().csv
analcatdata_creditscore_461,simpleimputer,none,none,quantile,QuadraticDiscriminantAnalysis(),1,1.0,0.0008490085601806,0.0002179145812988,analcatdata_creditscore_461_results_QuadraticDiscriminantAnalysis().csv
analcatdata_creditscore_461,simpleimputer,none,extra_tree,power,QuadraticDiscriminantAnalysis(),4,1.0,0.0006866455078125,0.000150442123413,analcatdata_creditscore_461_results_QuadraticDiscriminantAnalysis().csv
analcatdata_creditscore_461,simpleimputer,none,linear_svc,power,QuadraticDiscriminantAnalysis(),0,1.0,0.0006718635559082,0.0001411437988281,analcatdata_creditscore_461_results_QuadraticDiscriminantAnalysis().csv
analcatdata_creditscore_461,simpleimputer,none,linear_svc,power,QuadraticDiscriminantAnalysis(),1,1.0,0.0007407665252685,0.0001916885375976,analcatdata_creditscore_461_results_QuadraticDiscriminantAnalysis().csv
analcatdata_creditscore_461,simpleimputer,none,linear_svc,power,QuadraticDiscriminantAnalysis(),3,1.0,0.0006473064422607,0.000138521194458,analcatdata_creditscore_461_results_QuadraticDiscriminantAnalysis().csv
analcatdata_creditscore_461,simpleimputer,none,linear_svc,power,QuadraticDiscriminantAnalysis(),4,1.0,0.000734806060791,0.0001428127288818,analcatdata_creditscore_461_results_QuadraticDiscriminantAnalysis().csv
analcatdata_creditscore_461,simpleimputer,none,pca,quantile,QuadraticDiscriminantAnalysis(),3,1.0,0.0007259845733642,0.0001499652862548,analcatdata_creditscore_461_results_QuadraticDiscriminantAnalysis().csv
analcatdata_creditscore_461,simpleimputer,none,pca,quantile,QuadraticDiscriminantAnalysis(),4,1.0,0.000770092010498,0.0001482963562011,analcatdata_creditscore_461_results_QuadraticDiscriminantAnalysis().csv
analcatdata_creditscore_461,simpleimputer,none,fastica,quantile,QuadraticDiscriminantAnalysis(),0,1.0,0.0009691715240478,0.0001544952392578,analcatdata_creditscore_461_results_QuadraticDiscriminantAnalysis().csv
sa-heart_1498,none,ordinalencoder,feature_agglomeration,standard,QuadraticDiscriminantAnalysis(),2,0.782608695652174,0.0008447170257568,0.0001757144927978,sa-heart_1498_results_QuadraticDiscriminantAnalysis().csv
sa-heart_1498,simpleimputer,onehot,feature_agglomeration,standard,QuadraticDiscriminantAnalysis(),2,0.782608695652174,0.0007445812225341,0.0001666545867919,sa-heart_1498_results_QuadraticDiscriminantAnalysis().csv
sa-heart_1498,none,ordinalencoder,truncated_svd,robust,QuadraticDiscriminantAnalysis(),2,0.782608695652174,0.0007460117340087,0.0001633167266845,sa-heart_1498_results_QuadraticDiscriminantAnalysis().csv
sa-heart_1498,none,ordinalencoder,linear_svc,power,QuadraticDiscriminantAnalysis(),2,0.782608695652174,0.0008027553558349,0.000185489654541,sa-heart_1498_results_QuadraticDiscriminantAnalysis().csv
sa-heart_1498,none,none,linear_svc,power,QuadraticDiscriminantAnalysis(),2,0.782608695652174,0.0007784366607666,0.0001628398895263,sa-heart_1498_results_QuadraticDiscriminantAnalysis().csv
sa-heart_1498,none,onehot,linear_svc,power,QuadraticDiscriminantAnalysis(),2,0.782608695652174,0.0007827281951904,0.0001688003540039,sa-heart_1498_results_QuadraticDiscriminantAnalysis().csv
sa-heart_1498,none,onehot,feature_agglomeration,standard,QuadraticDiscriminantAnalysis(),2,0.782608695652174,0.0007894039154052,0.000159740447998,sa-heart_1498_results_QuadraticDiscriminantAnalysis().csv
sa-heart_1498,simpleimputer,ordinalencoder,truncated_svd,robust,QuadraticDiscriminantAnalysis(),2,0.782608695652174,0.0007364749908447,0.0001564025878906,sa-heart_1498_results_QuadraticDiscriminantAnalysis().csv
sa-heart_1498,simpleimputer,ordinalencoder,feature_agglomeration,standard,QuadraticDiscriminantAnalysis(),2,0.782608695652174,0.0007381439208984,0.0001578330993652,sa-heart_1498_results_QuadraticDiscriminantAnalysis().csv
sa-heart_1498,simpleimputer,none,truncated_svd,robust,QuadraticDiscriminantAnalysis(),2,0.782608695652174,0.0007462501525878,0.0001840591430664,sa-heart_1498_results_QuadraticDiscriminantAnalysis().csv
sa-heart_1498,none,onehot,truncated_svd,robust,QuadraticDiscriminantAnalysis(),2,0.782608695652174,0.0007495880126953,0.000159740447998,sa-heart_1498_results_QuadraticDiscriminantAnalysis().csv
sa-heart_1498,simpleimputer,none,linear_svc,power,QuadraticDiscriminantAnalysis(),2,0.782608695652174,0.0009808540344238,0.0004515647888183,sa-heart_1498_results_QuadraticDiscriminantAnalysis().csv
