Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard
badges2_1121,3,1.0,0.0008177757263183,0.0001420974731445,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
badges2_1121,2,1.0,0.0008895397186279,0.0001511573791503,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
badges2_1121,0,1.0,0.0018355846405029,0.0009198188781738,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
badges2_1121,1,1.0,0.0017037391662597,0.0009393692016601,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
badges2_1121,2,1.0,0.0019311904907226,0.0008974075317382,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
badges2_1121,3,1.0,0.0017039775848388,0.0008652210235595,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
badges2_1121,4,1.0,0.0016472339630126,0.0008635520935058,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
badges2_1121,0,1.0,0.0008556842803955,0.0001544952392578,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
badges2_1121,1,1.0,0.0008916854858398,0.0001454353332519,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
badges2_1121,0,1.0,0.0008802413940429,0.00014328956604,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
badges2_1121,3,1.0,0.000887393951416,0.0001544952392578,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
badges2_1121,4,1.0,0.0008809566497802,0.0001664161682128,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
badges2_1121,3,1.0,0.0010545253753662,0.0002460479736328,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
badges2_1121,2,1.0,0.0009815692901611,0.0001795291900634,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
badges2_1121,1,1.0,0.0010209083557128,0.0001821517944335,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
badges2_1121,0,1.0,0.0010452270507812,0.0002069473266601,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
badges2_1121,3,1.0,0.0011279582977294,0.0002145767211914,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
badges2_1121,0,1.0,0.0008599758148193,0.0001852512359619,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
badges2_1121,1,1.0,0.0009069442749023,0.0001606941223144,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
badges2_1121,2,1.0,0.0009093284606933,0.0001530647277832,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
sensory_826,3,0.6956521739130435,0.0013289451599121,0.0001873970031738,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sensory_826,3,0.6956521739130435,0.0012376308441162,0.0001807212829589,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sensory_826,3,0.6956521739130435,0.0009739398956298,0.0001585483551025,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
sensory_826,3,0.6956521739130435,0.001328706741333,0.0002033710479736,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sensory_826,3,0.6956521739130435,0.001051902770996,0.0001633167266845,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
sensory_826,3,0.6956521739130435,0.001209020614624,0.0001904964447021,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sensory_826,3,0.6956521739130435,0.0009772777557373,0.0001678466796875,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
sensory_826,3,0.6956521739130435,0.0013487339019775,0.0002164840698242,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sensory_826,3,0.6956521739130435,0.0009791851043701,0.0001659393310546,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
sensory_826,3,0.6956521739130435,0.0009071826934814,0.0001554489135742,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
sensory_826,3,0.6956521739130435,0.0010154247283935,0.0001699924468994,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
sensory_826,3,0.6956521739130435,0.0012209415435791,0.0001897811889648,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sensory_826,1,0.6869565217391305,0.0011851787567138,0.0002079010009765,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
sensory_826,1,0.6869565217391305,0.0010516643524169,0.0001924037933349,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
sensory_826,1,0.6869565217391305,0.0010762214660644,0.0001907348632812,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
sensory_826,1,0.6869565217391305,0.0010523796081542,0.0001897811889648,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
sensory_826,1,0.6869565217391305,0.0012080669403076,0.0002393722534179,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
sensory_826,1,0.6869565217391305,0.0011234283447265,0.0002050399780273,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
sensory_826,1,0.6695652173913044,0.0010528564453125,0.0001893043518066,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
sensory_826,1,0.6695652173913044,0.0021717548370361,0.0009684562683105,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
balance-scale_11,2,0.96,0.0010504722595214,0.0001842975616455,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
balance-scale_11,2,0.96,0.0011248588562011,0.0002510547637939,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
balance-scale_11,2,0.96,0.000988483428955,0.0001788139343261,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
balance-scale_11,2,0.96,0.0010905265808105,0.0002052783966064,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
balance-scale_11,2,0.96,0.0010657310485839,0.0001842975616455,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
balance-scale_11,2,0.96,0.0010473728179931,0.0001852512359619,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
balance-scale_11,2,0.96,0.0011146068572998,0.0001857280731201,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
balance-scale_11,2,0.96,0.0010290145874023,0.0001840591430664,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
balance-scale_11,2,0.96,0.0010151863098144,0.0001819133758544,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
balance-scale_11,2,0.96,0.0010192394256591,0.0001816749572753,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
balance-scale_11,2,0.96,0.001155138015747,0.0002298355102539,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
balance-scale_11,2,0.96,0.0010623931884765,0.0001845359802246,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
balance-scale_11,2,0.96,0.0010623931884765,0.0001871585845947,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
balance-scale_11,2,0.96,0.0015120506286621,0.0002694129943847,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
