Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_select_percentile,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard
autoUniv-au6-400_1551,0,0.3375,0.0014803409576416,0.0001041889190673,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
autoUniv-au6-400_1551,1,0.3375,0.0019726753234863,0.0001649856567382,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
autoUniv-au6-400_1551,1,0.3375,0.0020315647125244,0.0001702308654785,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
autoUniv-au6-400_1551,3,0.3375,0.0020074844360351,0.000169038772583,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
autoUniv-au6-400_1551,1,0.3375,0.0022175312042236,0.0001749992370605,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0031633377075195,0.0012669563293457,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0011963844299316,8.749961853027344e-05,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0011773109436035,8.58306884765625e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0011754035949707,8.797645568847656e-05,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0015130043029785,0.0001113414764404,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0013642311096191,0.000140905380249,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0014271736145019,0.0001020431518554,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0014281272888183,9.918212890625e-05,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0011811256408691,8.606910705566406e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
